Demographic Data Report by State
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Madison County, Alabama",01089,42.8,105935,"134 of 3146"
"Arapahoe County, Colorado",08005,42.8,187205,"135 of 3146"
"Oktibbeha County, Mississippi",28105,42.6,11011,"136 of 3146"
"Mercer County, New Jersey",34021,42.6,105467,"137 of 3146"
"Oldham County, Kentucky",21185,42.4,18500,"138 of 3146"
"Chatham County, North Carolina",37037,42.4,22117,"139 of 3146"
"Contra Costa County, California",06013,42.4,333398,"140 of 3146"
"Hudson County, New Jersey",34017,42.3,202114,"141 of 3146"
"Ramsey County, Minnesota",27123,42.3,153452,"142 of 3146"
"Watauga County, North Carolina",37189,42.2,13409,"143 of 3146"
"Dakota County, Minnesota",27037,42.2,120099,"144 of 3146"
"Poquoson City, Virginia",51735,42.2,3572,"145 of 3146"
"Middlesex County, Connecticut",09007,42.2,50299,"146 of 3146"
"Kendall County, Texas",48259,42.1,12590,"147 of 3146"
"Washington County, Vermont",50023,41.8,17463,"148 of 3146"
"Albany County, New York",36001,41.8,85702,"149 of 3146"
"Tolland County, Connecticut",09013,41.8,40173,"150 of 3146"
"Goochland County, Virginia",51075,41.8,7159,"151 of 3146"
"Anne Arundel County, Maryland",24003,41.7,164303,"152 of 3146"
"Davidson County, Tennessee",47037,41.7,197817,"153 of 3146"
"Brazos County, Texas",48041,41.7,49439,"154 of 3146"
"Allegheny County, Pennsylvania",42003,41.6,367979,"155 of 3146"
"Rockingham County, New Hampshire",33015,41.4,92331,"156 of 3146"
"Yolo County, California",06113,41.4,52851,"157 of 3146"
"Frederick County, Maryland",24021,41.4,70751,"158 of 3146"
"Saratoga County, New York",36091,41.4,67456,"159 of 3146"
"Williamson County, Texas",48491,41.3,149594,"160 of 3146"
"Bucks County, Pennsylvania",42017,41.3,184764,"161 of 3146"
"Beaufort County, South Carolina",45013,41.2,54999,"162 of 3146"
"Prince William County, Virginia",51153,41.1,121316,"163 of 3146"
"Rockland County, New York",36087,41.1,83654,"164 of 3146"
"Denali, Alaska",02068,41.1,668,"165 of 3146"
"Santa Fe County, New Mexico",35049,41.0,45475,"166 of 3146"
"Teton County, Idaho",16081,41.0,3155,"167 of 3146"
"Fredericksburg City, Virginia",51630,40.9,7061,"168 of 3146"
"Santa Cruz County, California",06087,40.8,73511,"169 of 3146"
"Utah County, Utah",49049,40.8,122208,"170 of 3146"
"Rockwall County, Texas",48397,40.7,25668,"171 of 3146"
"Grafton County, New Hampshire",33009,40.6,25708,"172 of 3146"
"New Hanover County, North Carolina",37129,40.6,63284,"173 of 3146"
"Orange County, California",06059,40.6,880086,"174 of 3146"
"Talbot County, Maryland",24041,40.6,11338,"175 of 3146"
"Chesterfield County, Virginia",51041,40.5,93507,"176 of 3146"
"Cook County, Minnesota",27031,40.4,1730,"177 of 3146"
"Brookings County, South Dakota",46011,40.3,7457,"178 of 3146"
"Cass County, North Dakota",38017,40.2,44952,"179 of 3146"
"Buncombe County, North Carolina",37021,40.1,75737,"180 of 3146"
"Lewis and Clark County, Montana",30049,40.1,19138,"181 of 3146"
"Franklin County, Ohio",39049,40.0,345062,"182 of 3146"
"Brewster County, Texas",48043,40.0,2722,"183 of 3146"
"Stafford County, Virginia",51179,39.9,37498,"184 of 3146"
"Wasatch County, Utah",49051,39.9,7575,"185 of 3146"
"Scott County, Minnesota",27139,39.9,37319,"186 of 3146"
"Essex County, Massachusetts",25009,39.9,216380,"187 of 3146"
