Demographic Data Report by State
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Swift County, Minnesota",27151,19.6,1301,"1578 of 3146"
"Stephenson County, Illinois",17177,19.6,6261,"1579 of 3146"
"Pawnee County, Kansas",20145,19.6,969,"1580 of 3146"
"Las Animas County, Colorado",08071,19.5,2058,"1581 of 3146"
"Sharkey County, Mississippi",28125,19.5,571,"1582 of 3146"
"Pinal County, Arizona",04021,19.5,58470,"1583 of 3146"
"Morrill County, Nebraska",31123,19.5,657,"1584 of 3146"
"Jones County, Iowa",19105,19.5,2866,"1585 of 3146"
"Carroll County, Illinois",17015,19.5,2082,"1586 of 3146"
"Clayton County, Georgia",13063,19.5,34324,"1587 of 3146"
"Oceana County, Michigan",26127,19.5,3530,"1588 of 3146"
"Trinity County, California",06105,19.5,1922,"1589 of 3146"
"Sedgwick County, Colorado",08115,19.5,315,"1590 of 3146"
"Montgomery County, Kansas",20125,19.5,4282,"1591 of 3146"
"Ellsworth County, Kansas",20053,19.5,882,"1592 of 3146"
"Warren County, Pennsylvania",42123,19.5,5695,"1593 of 3146"
"Davis County, Iowa",19051,19.5,1089,"1594 of 3146"
"Mason County, Kentucky",21161,19.5,2289,"1595 of 3146"
"Accomack County, Virginia",51001,19.5,4576,"1596 of 3146"
"Cavalier County, North Dakota",38019,19.5,529,"1597 of 3146"
"Harrison County, Iowa",19085,19.5,1923,"1598 of 3146"
"Meeker County, Minnesota",27093,19.5,3068,"1599 of 3146"
"Clinton County, Pennsylvania",42035,19.5,4937,"1600 of 3146"
"Woodward County, Oklahoma",40153,19.4,2675,"1601 of 3146"
"Wheeler County, Nebraska",31183,19.4,118,"1602 of 3146"
"Gogebic County, Michigan",26053,19.4,2242,"1603 of 3146"
"Kewaunee County, Wisconsin",55061,19.4,2824,"1604 of 3146"
"Bourbon County, Kentucky",21017,19.4,2732,"1605 of 3146"
"Mercer County, West Virginia",54055,19.4,8256,"1607 of 3146"
"Miller County, Missouri",29131,19.4,3350,"1608 of 3146"
"Ness County, Kansas",20135,19.4,408,"1609 of 3146"
"Warren County, Indiana",18171,19.4,1141,"1610 of 3146"
"Tucker County, West Virginia",54093,19.4,1043,"1611 of 3146"
"Crawford County, Michigan",26039,19.4,2030,"1612 of 3146"
"Boyd County, Kentucky",21019,19.4,6613,"1613 of 3146"
"Wahkiakum County, Washington",53069,19.4,639,"1614 of 3146"
"Meade County, Kentucky",21163,19.4,3741,"1615 of 3146"
"Marshall County, Alabama",01095,19.4,12387,"1616 of 3146"
"Camp County, Texas",48063,19.4,1636,"1617 of 3146"
"Jefferson County, Oregon",41031,19.4,3136,"1618 of 3146"
"Saline County, Missouri",29195,19.4,2917,"1619 of 3146"
"Habersham County, Georgia",13137,19.3,5857,"1620 of 3146"
"Putnam County, Missouri",29171,19.3,644,"1621 of 3146"
"Montgomery County, Mississippi",28097,19.3,1388,"1622 of 3146"
"Harper County, Oklahoma",40059,19.3,495,"1623 of 3146"
"Jewell County, Kansas",20089,19.3,425,"1624 of 3146"
"Pennington County, Minnesota",27113,19.3,1883,"1625 of 3146"
"Bay County, Michigan",26017,19.3,14413,"1626 of 3146"
"Costilla County, Colorado",08023,19.3,539,"1627 of 3146"
"Sumter County, South Carolina",45085,19.3,13531,"1628 of 3146"
"Morgan County, Illinois",17137,19.3,4589,"1629 of 3146"
"Linn County, Oregon",41043,19.3,16746,"1630 of 3146"
"Trempealeau County, Wisconsin",55121,19.3,3865,"1631 of 3146"
"Buffalo County, Wisconsin",55011,19.3,1841,"1632 of 3146"
"Amador County, California",06005,19.3,5837,"1633 of 3146"
"Rio Arriba County, New Mexico",35039,19.3,5145,"1634 of 3146"
"Young County, Texas",48503,19.3,2402,"1635 of 3146"
"Lincoln County, Minnesota",27081,19.3,768,"1636 of 3146"
"Gasconade County, Missouri",29073,19.2,2053,"1637 of 3146"
"Aroostook County, Maine",23003,19.2,9676,"1638 of 3146"
"Osage County, Kansas",20139,19.2,2115,"1639 of 3146"
"Gulf County, Florida",12045,19.2,2300,"1640 of 3146"
"Westmoreland County, Virginia",51193,19.2,2537,"1641 of 3146"
"Marshall County, Kentucky",21157,19.2,4359,"1642 of 3146"
"Saline County, Illinois",17165,19.2,3288,"1643 of 3146"
"Cheyenne County, Colorado",08017,19.2,257,"1644 of 3146"
"Oxford County, Maine",23017,19.2,8225,"1645 of 3146"
"Butte County, South Dakota",46019,19.2,1332,"1646 of 3146"
"Curry County, New Mexico",35009,19.2,5861,"1647 of 3146"
"Jackson County, Iowa",19097,19.2,2618,"1647 of 3146"
"Cass County, Michigan",26027,19.2,7048,"1649 of 3146"
"Brown County, Texas",48049,19.1,4991,"1650 of 3146"
"Marshall County, Minnesota",27089,19.1,1253,"1651 of 3146"
"Warren County, Missouri",29219,19.1,4517,"1652 of 3146"
"Ransom County, North Dakota",38073,19.1,730,"1653 of 3146"
"Amherst County, Virginia",51009,19.1,4339,"1654 of 3146"
"Tioga County, Pennsylvania",42117,19.1,5564,"1655 of 3146"
"Red Willow County, Nebraska",31145,19.1,1405,"1656 of 3146"
"Plaquemines Parish, Louisiana",22075,19.1,2926,"1657 of 3146"
"Choctaw County, Mississippi",28019,19.1,1104,"1658 of 3146"
"Harrison County, Texas",48203,19.1,8374,"1659 of 3146"
"Franklin County, New York",36033,19.1,6689,"1660 of 3146"
"Cattaraugus County, New York",36009,19.1,10081,"1661 of 3146"
"Franklin City, Virginia",51620,19.1,1099,"1662 of 3146"
"Redwood County, Minnesota",27127,19.1,1988,"1663 of 3146"
"Gentry County, Missouri",29075,19.1,855,"1664 of 3146"
"Clark County, South Dakota",46025,19.1,471,"1665 of 3146"
"Norman County, Minnesota",27107,19.1,859,"1666 of 3146"
"Natchitoches Parish, Louisiana",22069,19.0,4381,"1667 of 3146"
"Mitchell County, Iowa",19131,19.0,1383,"1668 of 3146"
"Richland County, Wisconsin",55103,19.0,2340,"1669 of 3146"
"Cherokee County, North Carolina",37039,19.0,4095,"1670 of 3146"
"Wayne County, North Carolina",37191,19.0,15628,"1671 of 3146"
"Richardson County, Nebraska",31147,19.0,1099,"1672 of 3146"
"Big Horn County, Wyoming",56003,19.0,1529,"1673 of 3146"
"Wythe County, Virginia",51197,19.0,4027,"1674 of 3146"
"Troup County, Georgia",13285,19.0,8691,"1675 of 3146"
"Fallon County, Montana",30025,19.0,379,"1676 of 3146"
"Caribou County, Idaho",16029,19.0,837,"1677 of 3146"
"Barrow County, Georgia",13013,19.0,9857,"1678 of 3146"
"Brooke County, West Virginia",54009,19.0,3090,"1679 of 3146"
"Oswego County, New York",36075,19.0,15203,"1680 of 3146"
"Chippewa County, Minnesota",27023,19.0,1565,"1681 of 3146"
"Stanton County, Kansas",20187,19.0,242,"1682 of 3146"
"Dodge County, Nebraska",31053,19.0,4656,"1683 of 3146"
"Grant County, Oregon",41023,18.9,1048,"1684 of 3146"
"Knox County, Illinois",17095,18.9,6661,"1685 of 3146"
"Osage County, Missouri",29151,18.9,1756,"1686 of 3146"
"Webb County, Texas",48479,18.9,28650,"1687 of 3146"
"Allen County, Ohio",39003,18.9,13091,"1688 of 3146"
"Richland County, Montana",30083,18.9,1406,"1689 of 3146"
"Pacific County, Washington",53049,18.9,3188,"1690 of 3146"
"Clinton County, Ohio",39027,18.9,5333,"1691 of 3146"
"Campbell County, Wyoming",56005,18.9,5753,"1692 of 3146"
"Kay County, Oklahoma",40071,18.9,5579,"1693 of 3146"
"Marshall County, Illinois",17123,18.9,1588,"1694 of 3146"
"Allegany County, Maryland",24001,18.9,9428,"1695 of 3146"
"Marshall County, Kansas",20117,18.9,1280,"1696 of 3146"
"Vernon County, Missouri",29217,18.9,2585,"1697 of 3146"
"Auglaize County, Ohio",39011,18.9,5852,"1698 of 3146"
"Mercer County, Missouri",29129,18.9,457,"1699 of 3146"
"Fremont County, Iowa",19071,18.9,941,"1700 of 3146"
"McKean County, Pennsylvania",42083,18.9,5545,"1701 of 3146"
"Bear Lake County, Idaho",16007,18.9,750,"1702 of 3146"
"Douglas County, Illinois",17041,18.9,2473,"1703 of 3146"
"Lafayette County, Wisconsin",55065,18.8,2149,"1704 of 3146"
"Wapello County, Iowa",19179,18.8,4512,"1705 of 3146"
"Iowa County, Iowa",19095,18.8,2124,"1706 of 3146"
"Washington County, Ohio",39167,18.8,8152,"1707 of 3146"
"Emmet County, Iowa",19063,18.8,1219,"1708 of 3146"
"Livingston County, Missouri",29117,18.8,2016,"1709 of 3146"
"Thayer County, Nebraska",31169,18.8,674,"1710 of 3146"
"Marshall County, Iowa",19127,18.8,4981,"1711 of 3146"
"Churchill County, Nevada",32001,18.8,3161,"1712 of 3146"
"Norton County, Kansas",20137,18.8,750,"1713 of 3146"
"Bamberg County, South Carolina",45009,18.8,1806,"1714 of 3146"
"Lac qui Parle County, Minnesota",27073,18.8,934,"1715 of 3146"
"Jasper County, Iowa",19099,18.8,4889,"1716 of 3146"
"Washington County, Kentucky",21229,18.8,1539,"1717 of 3146"
"O'Brien County, Iowa",19141,18.8,1798,"1718 of 3146"
"Franklin County, Florida",12037,18.8,1712,"1719 of 3146"
"San Joaquin County, California",06077,18.8,87705,"1720 of 3146"
"Ferry County, Washington",53019,18.8,1082,"1721 of 3146"
"Grant County, Minnesota",27051,18.8,794,"1722 of 3146"
"Hamilton County, Kansas",20075,18.7,312,"1723 of 3146"
"Bleckley County, Georgia",13023,18.7,1471,"1724 of 3146"
"Labette County, Kansas",20099,18.7,2591,"1725 of 3146"
"Gila County, Arizona",04007,18.7,7368,"1726 of 3146"
"Venango County, Pennsylvania",42121,18.7,7118,"1727 of 3146"
"Elmore County, Idaho",16039,18.7,3140,"1728 of 3146"
"Johnson County, Texas",48251,18.7,20431,"1729 of 3146"
"Trumbull County, Ohio",39155,18.7,26841,"1730 of 3146"
"Bradford County, Pennsylvania",42015,18.7,8060,"1731 of 3146"
"Grant County, Arkansas",05053,18.7,2380,"1732 of 3146"
"Shelby County, Ohio",39149,18.7,6053,"1733 of 3146"
"Clark County, Ohio",39023,18.7,17235,"1734 of 3146"
"Hidalgo County, Texas",48215,18.7,89652,"1735 of 3146"
"Kit Carson County, Colorado",08063,18.7,972,"1736 of 3146"
"Stevens County, Washington",53065,18.7,5983,"1737 of 3146"
"Lamar County, Texas",48277,18.7,6319,"1738 of 3146"
"Harrison County, Indiana",18061,18.7,5230,"1739 of 3146"
"Shelby County, Indiana",18145,18.7,5765,"1740 of 3146"
"Calhoun County, Iowa",19025,18.7,1306,"1741 of 3146"
"Greene County, Iowa",19073,18.7,1176,"1742 of 3146"
"Canyon County, Idaho",16027,18.7,24974,"1743 of 3146"
"Chenango County, New York",36017,18.7,6406,"1744 of 3146"
"Dinwiddie County, Virginia",51053,18.6,3823,"1745 of 3146"
"Moultrie County, Illinois",17139,18.6,1845,"1746 of 3146"
"Fisher County, Texas",48151,18.6,499,"1747 of 3146"
"Bartow County, Georgia",13015,18.6,13091,"1748 of 3146"
"St. Clair County, Michigan",26147,18.6,21001,"1749 of 3146"
"Susquehanna County, Pennsylvania",42115,18.6,5653,"1750 of 3146"
"Otero County, Colorado",08089,18.6,2258,"1751 of 3146"
"Charles Mix County, South Dakota",46023,18.6,1068,"1752 of 3146"
"Ida County, Iowa",19093,18.6,891,"1753 of 3146"
"Cassia County, Idaho",16031,18.6,2600,"1754 of 3146"
"Faribault County, Minnesota",27043,18.6,1831,"1755 of 3146"
"Stone County, Missouri",29209,18.6,4535,"1756 of 3146"
"Madison County, Georgia",13195,18.5,3734,"1757 of 3146"
"Divide County, North Dakota",38023,18.5,320,"1758 of 3146"
"Pamlico County, North Carolina",37137,18.5,1842,"1759 of 3146"
"Valencia County, New Mexico",35061,18.5,9507,"1760 of 3146"
"Union County, Indiana",18161,18.5,933,"1761 of 3146"
"Mercer County, Kentucky",21167,18.5,2795,"1762 of 3146"
"Rowan County, North Carolina",37159,18.5,17900,"1763 of 3146"
"Webster County, Mississippi",28155,18.5,1227,"1764 of 3146"
"Isanti County, Minnesota",27059,18.5,5008,"1765 of 3146"
"Iron County, Michigan",26071,18.5,1611,"1766 of 3146"
"Dickens County, Texas",48125,18.5,303,"1767 of 3146"
"Calhoun County, Alabama",01015,18.5,14620,"1768 of 3146"
"Leflore County, Mississippi",28083,18.5,3290,"1769 of 3146"
"Sargent County, North Dakota",38081,18.5,520,"1770 of 3146"
"Davidson County, North Carolina",37057,18.5,21469,"1771 of 3146"
"Adair County, Iowa",19001,18.5,945,"1772 of 3146"
"Daviess County, Missouri",29061,18.5,1021,"1773 of 3146"
"Columbia County, Oregon",41009,18.5,6788,"1774 of 3146"
"Cumberland County, Tennessee",47035,18.5,8299,"1774 of 3146"
"Hanson County, South Dakota",46061,18.5,383,"1776 of 3146"
"Montgomery County, Iowa",19137,18.5,1290,"1777 of 3146"
"Sevier County, Utah",49041,18.5,2440,"1778 of 3146"
"Fremont County, Colorado",08043,18.5,6820,"1779 of 3146"
"Miner County, South Dakota",46097,18.5,278,"1780 of 3146"
"Darlington County, South Carolina",45031,18.4,8510,"1781 of 3146"
"Raleigh County, West Virginia",54081,18.4,9939,"1782 of 3146"
"Tallapoosa County, Alabama",01123,18.4,5287,"1783 of 3146"
"Hernando County, Florida",12053,18.4,25716,"1784 of 3146"
"Crawford County, Wisconsin",55023,18.4,2159,"1785 of 3146"
"Terrell County, Texas",48443,18.4,139,"1786 of 3146"
"Lewis County, New York",36049,18.4,3382,"1787 of 3146"
"Luce County, Michigan",26095,18.4,881,"1788 of 3146"
"Lincoln County, Wisconsin",55069,18.4,3795,"1789 of 3146"
"Piscataquis County, Maine",23021,18.4,2373,"1790 of 3146"
"Gibson County, Tennessee",47053,18.4,6153,"1791 of 3146"
"Pickaway County, Ohio",39129,18.4,7411,"1792 of 3146"
"Harney County, Oregon",41025,18.4,980,"1793 of 3146"
"Caroline County, Maryland",24011,18.4,4152,"1794 of 3146"
"Southampton County, Virginia",51175,18.4,2432,"1795 of 3146"
"Madison County, Indiana",18095,18.4,16578,"1796 of 3146"
"Lincoln County, Tennessee",47103,18.4,4372,"1797 of 3146"
"Val Verde County, Texas",48465,18.4,5425,"1798 of 3146"
"Macoupin County, Illinois",17117,18.4,5934,"1799 of 3146"
"Antelope County, Nebraska",31003,18.4,808,"1800 of 3146"
"Prowers County, Colorado",08099,18.3,1425,"1801 of 3146"
"Wakulla County, Florida",12129,18.3,4278,"1802 of 3146"
"Richland County, Ohio",39139,18.3,15509,"1803 of 3146"
"Hayes County, Nebraska",31085,18.3,120,"1804 of 3146"
"Calaveras County, California",06009,18.3,6384,"1805 of 3146"
"Martin County, Texas",48317,18.3,608,"1806 of 3146"
"Mercer County, Ohio",39107,18.3,4943,"1807 of 3146"
"San Juan County, Utah",49037,18.3,1659,"1808 of 3146"
"Henderson County, Illinois",17071,18.3,929,"1809 of 3146"
"Citrus County, Florida",12017,18.3,21141,"1810 of 3146"
"Nance County, Nebraska",31125,18.3,462,"1811 of 3146"
"Fayette County, Iowa",19065,18.3,2518,"1812 of 3146"
"Keokuk County, Iowa",19107,18.3,1308,"1813 of 3146"
"Liberty County, Georgia",13179,18.3,6488,"1814 of 3146"
"Pottawatomie County, Oklahoma",40125,18.3,8740,"1815 of 3146"
"Mills County, Texas",48333,18.3,653,"1816 of 3146"
"Lapeer County, Michigan",26087,18.3,11414,"1817 of 3146"
"Prince of Wales-Outer Ketchikan, Alaska",02201,18.3,814,"1818 of 3146"
"Bon Homme County, South Dakota",46009,18.3,921,"1820 of 3146"
"Sumter County, Georgia",13261,18.3,3474,"1821 of 3146"
"Childress County, Texas",48075,18.3,945,"1822 of 3146"
"Coos County, New Hampshire",33007,18.2,4434,"1823 of 3146"
"Sutter County, California",06101,18.2,11424,"1824 of 3146"
"Whiteside County, Illinois",17195,18.2,7162,"1825 of 3146"
"Wexford County, Michigan",26165,18.2,4205,"1826 of 3146"
"Fulton County, New York",36035,18.2,7032,"1827 of 3146"
"Wayne County, Indiana",18177,18.2,8295,"1828 of 3146"
"Wells County, Indiana",18179,18.2,3454,"1829 of 3146"
"Lee County, Illinois",17103,18.2,4547,"1830 of 3146"
"Henderson County, Kentucky",21101,18.2,5817,"1831 of 3146"
"Wabash County, Illinois",17185,18.2,1486,"1832 of 3146"
"Swain County, North Carolina",37173,18.2,1780,"1833 of 3146"
"Emmons County, North Dakota",38029,18.2,444,"1834 of 3146"
"Montgomery County, Indiana",18107,18.2,4725,"1835 of 3146"
"Edwards County, Texas",48137,18.2,266,"1836 of 3146"
"Colbert County, Alabama",01033,18.1,7070,"1837 of 3146"
"Caldwell County, Missouri",29025,18.1,1121,"1838 of 3146"
"Runnels County, Texas",48399,18.1,1281,"1839 of 3146"
"Dale County, Alabama",01045,18.1,6078,"1840 of 3146"
"Wyandotte County, Kansas",20209,18.1,18934,"1841 of 3146"
"Wabash County, Indiana",18169,18.1,3923,"1842 of 3146"
"Giles County, Virginia",51071,18.1,2193,"1843 of 3146"
"Tift County, Georgia",13277,18.1,4671,"1844 of 3146"
"Christian County, Kentucky",21047,18.1,7360,"1845 of 3146"
"Delaware County, Oklahoma",40041,18.1,5550,"1846 of 3146"
"Neosho County, Kansas",20133,18.1,1950,"1847 of 3146"
"Edwards County, Kansas",20047,18.1,382,"1848 of 3146"
"Big Horn County, Montana",30003,18.1,1374,"1849 of 3146"
"Pontotoc County, Mississippi",28115,18.1,3721,"1850 of 3146"
"Anderson County, Kansas",20003,18.1,944,"1851 of 3146"
"Shelby County, Missouri",29205,18.1,746,"1852 of 3146"
"Aitkin County, Minnesota",27001,18.1,2234,"1853 of 3146"
"Grant County, North Dakota",38037,18.1,315,"1854 of 3146"
"Ripley County, Indiana",18137,18.0,3473,"1855 of 3146"
"Niobrara County, Wyoming",56027,18.0,330,"1856 of 3146"
"Menard County, Texas",48327,18.0,318,"1857 of 3146"
"DeKalb County, Indiana",18033,18.0,5221,"1858 of 3146"
"Surry County, North Carolina",37171,18.0,9186,"1859 of 3146"
"Marshall County, West Virginia",54051,18.0,4147,"1860 of 3146"
"Howell County, Missouri",29091,18.0,4930,"1861 of 3146"
"Nelson County, Kentucky",21179,18.0,5584,"1862 of 3146"
"Carroll County, Tennessee",47017,18.0,3476,"1863 of 3146"
"LaPorte County, Indiana",18091,18.0,13914,"1864 of 3146"
"Osage County, Oklahoma",40113,18.0,5975,"1865 of 3146"
"Wharton County, Texas",48481,18.0,4861,"1866 of 3146"
"Gibson County, Indiana",18051,18.0,4107,"1867 of 3146"
"Wise County, Texas",48497,18.0,8003,"1868 of 3146"
"Alpena County, Michigan",26007,18.0,3807,"1869 of 3146"
"Jefferson County, Arkansas",05069,18.0,8439,"1870 of 3146"
"Union County, Iowa",19175,18.0,1518,"1871 of 3146"
"Pettis County, Missouri",29159,18.0,5068,"1872 of 3146"
"Franklin County, Iowa",19069,18.0,1272,"1873 of 3146"
"Chaves County, New Mexico",35005,18.0,7431,"1874 of 3146"
"Defiance County, Ohio",39039,18.0,4650,"1875 of 3146"
"Jefferson County, Illinois",17081,17.9,4750,"1876 of 3146"
"Menominee County, Wisconsin",55078,17.9,472,"1877 of 3146"
"Washington County, Mississippi",28151,17.9,5354,"1878 of 3146"
"Sierra County, California",06091,17.9,434,"1879 of 3146"
"Newberry County, South Carolina",45071,17.9,4668,"1880 of 3146"
"Clinton County, Iowa",19045,17.9,5849,"1881 of 3146"
"Grant County, Indiana",18053,17.9,7888,"1882 of 3146"
"Uvalde County, Texas",48463,17.9,2996,"1883 of 3146"
"Lewis County, Idaho",16061,17.9,486,"1884 of 3146"
"Carbon County, Pennsylvania",42025,17.9,8429,"1885 of 3146"
"Presque Isle County, Michigan",26141,17.9,1777,"1886 of 3146"
"Osceola County, Iowa",19143,17.9,760,"1887 of 3146"
"Baxter County, Arkansas",05005,17.9,5682,"1888 of 3146"
"Jefferson County, Indiana",18077,17.9,3989,"1889 of 3146"
"Clearwater County, Idaho",16035,17.9,1211,"1890 of 3146"
"Donley County, Texas",48129,17.9,392,"1891 of 3146"
"Parmer County, Texas",48369,17.9,1070,"1892 of 3146"
"Sanders County, Montana",30089,17.9,1595,"1893 of 3146"
"Jefferson County, Nebraska",31095,17.8,919,"1894 of 3146"
"Stanton County, Nebraska",31167,17.8,725,"1895 of 3146"
"La Salle County, Illinois",17099,17.8,13784,"1896 of 3146"
"Hartley County, Texas",48205,17.8,762,"1897 of 3146"
"Corson County, South Dakota",46031,17.8,411,"1898 of 3146"
"Rutherford County, North Carolina",37161,17.8,8535,"1899 of 3146"
"Coke County, Texas",48081,17.8,446,"1900 of 3146"
"Russell County, Alabama",01113,17.8,6937,"1901 of 3146"
"Pike County, Illinois",17149,17.8,1951,"1902 of 3146"
"Rosebud County, Montana",30087,17.8,1026,"1903 of 3146"
"Beauregard Parish, Louisiana",22011,17.8,4396,"1904 of 3146"
"Merrick County, Nebraska",31121,17.8,980,"1905 of 3146"
"Etowah County, Alabama",01055,17.8,12815,"1906 of 3146"
"Jackson County, South Dakota",46071,17.8,343,"1907 of 3146"
"Montgomery County, New York",36057,17.8,6084,"1908 of 3146"
"Jasper County, South Carolina",45053,17.8,3589,"1909 of 3146"
"Spalding County, Georgia",13255,17.8,7917,"1910 of 3146"
"Saline County, Nebraska",31151,17.8,1576,"1911 of 3146"
"Allamakee County, Iowa",19005,17.8,1718,"1912 of 3146"
"Coos County, Oregon",41011,17.8,8451,"1913 of 3146"
"Brooks County, Georgia",13027,17.8,1965,"1914 of 3146"
"Richmond County, Virginia",51159,17.7,1232,"1915 of 3146"
"Hoke County, North Carolina",37093,17.7,6150,"1916 of 3146"
"McPherson County, South Dakota",46089,17.7,287,"1917 of 3146"
"Franklin County, Idaho",16041,17.7,1409,"1918 of 3146"
"Grant County, Washington",53025,17.7,10284,"1919 of 3146"
"Lewis County, Washington",53041,17.7,9839,"1920 of 3146"
"Ford County, Kansas",20057,17.7,3604,"1921 of 3146"
"Clayton County, Iowa",19043,17.7,2250,"1922 of 3146"
"Kidder County, North Dakota",38043,17.7,315,"1923 of 3146"
"Perry County, Missouri",29157,17.7,2328,"1924 of 3146"
"Wyoming County, New York",36121,17.7,5131,"1925 of 3146"
"Franklin County, Washington",53021,17.7,9371,"1926 of 3146"
"Fulton County, Ohio",39051,17.6,5063,"1927 of 3146"
"Mason County, Washington",53045,17.6,8252,"1928 of 3146"
"McIntosh County, Georgia",13191,17.6,1948,"1929 of 3146"
"Greene County, Pennsylvania",42059,17.6,4622,"1930 of 3146"
"McLeod County, Minnesota",27085,17.6,4354,"1931 of 3146"
"Garrard County, Kentucky",21079,17.6,2180,"1932 of 3146"
"Hitchcock County, Nebraska",31087,17.6,354,"1933 of 3146"
"Danville City, Virginia",51590,17.6,5019,"1934 of 3146"
"Sabine County, Texas",48403,17.6,1394,"1935 of 3146"
"Lawrence County, Mississippi",28077,17.6,1503,"1936 of 3146"
"Moffat County, Colorado",08081,17.6,1563,"1937 of 3146"
"Cleveland County, North Carolina",37045,17.6,11745,"1938 of 3146"
"Fulton County, Illinois",17057,17.6,4467,"1939 of 3146"
"Vernon Parish, Louisiana",22115,17.5,5293,"1940 of 3146"
"Independence County, Arkansas",05063,17.5,4406,"1941 of 3146"
"Carter County, Tennessee",47019,17.5,7354,"1942 of 3146"
"Kossuth County, Iowa",19109,17.5,1842,"1943 of 3146"
"Gem County, Idaho",16045,17.5,2092,"1944 of 3146"
"Traverse County, Minnesota",27155,17.5,440,"1945 of 3146"
"Morgan County, Colorado",08087,17.5,3216,"1946 of 3146"
"Otero County, New Mexico",35035,17.5,7616,"1947 of 3146"
"Madison County, Ohio",39097,17.5,5527,"1948 of 3146"
"Johnson County, Nebraska",31097,17.5,659,"1949 of 3146"
"Worth County, Iowa",19195,17.5,921,"1950 of 3146"
"Josephine County, Oregon",41033,17.5,11135,"1951 of 3146"
"Adams County, Mississippi",28001,17.4,3890,"1952 of 3146"
"McDowell County, North Carolina",37111,17.4,5731,"1953 of 3146"
"Long County, Georgia",13183,17.4,2043,"1954 of 3146"
"Matagorda County, Texas",48321,17.4,4203,"1955 of 3146"
"Crittenden County, Arkansas",05035,17.4,5400,"1956 of 3146"
"Sevier County, Tennessee",47155,17.4,12129,"1957 of 3146"
"Alger County, Michigan",26003,17.4,1218,"1958 of 3146"
"Huntingdon County, Pennsylvania",42061,17.4,5703,"1959 of 3146"
"Murray County, Oklahoma",40099,17.4,1688,"1960 of 3146"
"Gilliam County, Oregon",41021,17.4,248,"1961 of 3146"
"Crenshaw County, Alabama",01041,17.4,1687,"1962 of 3146"
"Fannin County, Texas",48147,17.4,4224,"1963 of 3146"
"Roosevelt County, Montana",30085,17.4,1121,"1964 of 3146"
"Furnas County, Nebraska",31065,17.4,584,"1965 of 3146"
"Essex County, Virginia",51057,17.4,1370,"1966 of 3146"
"Hancock County, West Virginia",54029,17.4,3780,"1967 of 3146"
"Mercer County, Illinois",17131,17.4,1934,"1968 of 3146"
"Real County, Texas",48385,17.4,392,"1969 of 3146"
"Hill County, Texas",48217,17.4,4239,"1970 of 3146"
"Graves County, Kentucky",21083,17.4,4371,"1971 of 3146"
"Jackson County, West Virginia",54035,17.4,3574,"1972 of 3146"
"Monroe County, Iowa",19135,17.4,932,"1973 of 3146"
"Tuscarawas County, Ohio",39157,17.4,11113,"1973 of 3146"
"Hillsdale County, Michigan",26059,17.3,5421,"1975 of 3146"
"Henderson County, Texas",48213,17.3,9926,"1976 of 3146"
"Coal County, Oklahoma",40029,17.3,649,"1977 of 3146"
"Alleghany County, North Carolina",37005,17.3,1460,"1978 of 3146"
"Roberts County, South Dakota",46109,17.3,1136,"1979 of 3146"
"Cameron County, Texas",48061,17.3,42787,"1980 of 3146"
"Stanly County, North Carolina",37167,17.3,7472,"1981 of 3146"
"Morrison County, Minnesota",27097,17.3,3977,"1982 of 3146"
"Taylor County, West Virginia",54091,17.3,2143,"1983 of 3146"
"Franklin County, Nebraska",31061,17.3,388,"1984 of 3146"
"Morton County, Kansas",20129,17.3,322,"1985 of 3146"
"Randolph County, West Virginia",54083,17.3,3624,"1986 of 3146"
"McCulloch County, Texas",48307,17.3,977,"1987 of 3146"
"Pike County, Arkansas",05109,17.3,1301,"1987 of 3146"
"Douglas County, Oregon",41019,17.3,13926,"1989 of 3146"
"Fayette County, Pennsylvania",42051,17.3,16620,"1990 of 3146"
"Burleson County, Texas",48051,17.3,2181,"1991 of 3146"
"Goliad County, Texas",48175,17.3,918,"1992 of 3146"
"Converse County, Wyoming",56009,17.3,1643,"1993 of 3146"
"Sherman County, Oregon",41055,17.3,216,"1994 of 3146"
"Tipton County, Tennessee",47167,17.3,7095,"1995 of 3146"
"Butler County, Iowa",19023,17.3,1775,"1996 of 3146"
"Lynn County, Texas",48305,17.3,657,"1997 of 3146"
"Tillman County, Oklahoma",40141,17.3,866,"1998 of 3146"
"Morgan County, Indiana",18109,17.3,8323,"1999 of 3146"
"Yellow Medicine County, Minnesota",27173,17.3,1178,"2000 of 3146"
"McCone County, Montana",30055,17.2,212,"2001 of 3146"
"Phillips County, Montana",30071,17.2,497,"2002 of 3146"
"Edgar County, Illinois",17045,17.2,2182,"2003 of 3146"
"Wright County, Iowa",19197,17.2,1526,"2004 of 3146"
"Kiowa County, Oklahoma",40075,17.2,1063,"2005 of 3146"
"Chariton County, Missouri",29041,17.2,907,"2006 of 3146"
"Bailey County, Texas",48017,17.2,735,"2007 of 3146"
"Chickasaw County, Iowa",19037,17.2,1427,"2008 of 3146"
"Union Parish, Louisiana",22111,17.2,2700,"2009 of 3146"
"Knox County, Missouri",29103,17.2,460,"2010 of 3146"
"Woodson County, Kansas",20207,17.2,397,"2011 of 3146"
