Demographic Data Report by State
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Estill County, Kentucky",21065,40.9,5759,"2998 of 3146"
"Clay County, Mississippi",28025,40.9,7909,"2997 of 3146"
"Macon County, Georgia",13193,40.8,4596,"2996 of 3146"
"Hancock County, Tennessee",47067,40.8,2590,"2995 of 3146"
"Red River Parish, Louisiana",22081,40.8,3390,"2994 of 3146"
"Oregon County, Missouri",29149,40.7,4263,"2993 of 3146"
"Fulton County, Arkansas",05049,40.7,4898,"2992 of 3146"
"Sierra County, New Mexico",35051,40.7,4350,"2991 of 3146"
"Dawson County, Texas",48115,40.7,4452,"2990 of 3146"
"Dunklin County, Missouri",29069,40.5,11835,"2989 of 3146"
"Cochran County, Texas",48079,40.5,1157,"2988 of 3146"
"Buchanan County, Virginia",51027,40.5,8428,"2987 of 3146"
"Socorro County, New Mexico",35053,40.5,6577,"2986 of 3146"
"Jackson County, Arkansas",05067,40.4,5782,"2985 of 3146"
"Bronx County, New York",36005,40.4,565067,"2984 of 3146"
"Casey County, Kentucky",21045,40.3,6233,"2983 of 3146"
"Dougherty County, Georgia",13095,40.3,34601,"2982 of 3146"
"Colquitt County, Georgia",13071,40.3,18027,"2981 of 3146"
"Neshoba County, Mississippi",28099,40.3,11614,"2980 of 3146"
"Charlton County, Georgia",13049,40.3,4761,"2979 of 3146"
"Choctaw County, Oklahoma",40023,40.3,5858,"2978 of 3146"
"Bacon County, Georgia",13005,40.1,4198,"2977 of 3146"
"Mingo County, West Virginia",54059,40.0,9668,"2976 of 3146"
"Okfuskee County, Oklahoma",40107,40.0,4393,"2975 of 3146"
"Owsley County, Kentucky",21189,40.0,1722,"2974 of 3146"
"Jefferson Davis County, Mississippi",28065,40.0,4459,"2973 of 3146"
"Lee County, South Carolina",45061,40.0,6350,"2972 of 3146"
"Santa Cruz County, Arizona",04023,40.0,18428,"2971 of 3146"
"Dona Ana County, New Mexico",35013,39.9,84028,"2970 of 3146"
"Hendry County, Florida",12051,39.9,16027,"2969 of 3146"
"Halifax County, North Carolina",37083,39.9,19872,"2968 of 3146"
"Leake County, Mississippi",28079,39.8,8780,"2967 of 3146"
"Marion County, Mississippi",28091,39.8,9651,"2966 of 3146"
"Warren County, Georgia",13301,39.7,2076,"2965 of 3146"
"Real County, Texas",48385,39.7,1254,"2964 of 3146"
"Sharp County, Arkansas",05135,39.7,6675,"2963 of 3146"
"Torrance County, New Mexico",35057,39.6,5994,"2962 of 3146"
"Shannon County, Missouri",29203,39.5,3192,"2961 of 3146"
"Hampton County, South Carolina",45049,39.4,7175,"2960 of 3146"
"Lafayette County, Arkansas",05073,39.4,2618,"2959 of 3146"
"Cibola County, New Mexico",35006,39.4,10038,"2958 of 3146"
"Richmond County, North Carolina",37153,39.4,17114,"2957 of 3146"
"Treutlen County, Georgia",13283,39.3,2530,"2956 of 3146"
"Scotland County, North Carolina",37165,39.3,12821,"2955 of 3146"
"Alamosa County, Colorado",08003,39.2,5882,"2954 of 3146"
"Perry County, Kentucky",21193,39.2,10077,"2953 of 3146"
"Webster County, West Virginia",54101,39.2,3260,"2952 of 3146"
"Hamilton County, Florida",12047,39.2,4313,"2951 of 3146"
"Lawrence County, Kentucky",21127,39.2,6077,"2950 of 3146"
"Monroe County, Alabama",01099,39.1,8219,"2949 of 3146"
"St. Francis County, Arkansas",05123,39.1,8774,"2948 of 3146"
"Montgomery County, Mississippi",28097,39.1,3873,"2947 of 3146"
"Athens County, Ohio",39009,39.1,21948,"2946 of 3146"
"Texas County, Missouri",29215,39.0,9420,"2945 of 3146"
"Dickenson County, Virginia",51051,39.0,5568,"2944 of 3146"
"Hancock County, Georgia",13141,38.9,2354,"2943 of 3146"
"Harrisonburg City, Virginia",51660,38.9,17909,"2942 of 3146"
"Wheeler County, Georgia",13309,38.9,2991,"2941 of 3146"
"Covington County, Mississippi",28031,38.9,7264,"2940 of 3146"
"Houston County, Texas",48225,38.9,7682,"2939 of 3146"
"Wayne County, Kentucky",21231,38.8,7800,"2938 of 3146"
"Swisher County, Texas",48437,38.8,2632,"2937 of 3146"
"Northwest Arctic Borough, Alaska",02188,38.8,2964,"2936 of 3146"
"Pulaski County, Illinois",17153,38.8,2114,"2935 of 3146"
"Thurston County, Nebraska",31173,38.8,2754,"2934 of 3146"
"Mitchell County, Georgia",13205,38.7,7678,"2933 of 3146"
"Morgan County, Kentucky",21175,38.6,4461,"2932 of 3146"
"Putnam County, Florida",12107,38.5,27654,"2931 of 3146"
"Johnson County, Arkansas",05071,38.5,9884,"2930 of 3146"
"Ben Hill County, Georgia",13017,38.5,6401,"2929 of 3146"
"Metcalfe County, Kentucky",21169,38.5,3822,"2928 of 3146"
"Sumter County, Georgia",13261,38.4,10734,"2927 of 3146"
"Chickasaw County, Mississippi",28017,38.4,6429,"2926 of 3146"
"Tulare County, California",06107,38.4,175313,"2925 of 3146"
"Jackson County, Illinois",17077,38.4,20728,"2924 of 3146"
"Hale County, Alabama",01065,38.4,5592,"2923 of 3146"
"St. Landry Parish, Louisiana",22097,38.3,31245,"2922 of 3146"
"Roosevelt County, New Mexico",35041,38.3,6807,"2921 of 3146"
"Otero County, Colorado",08089,38.3,6840,"2920 of 3146"
"Jones County, North Carolina",37103,38.3,3648,"2919 of 3146"
"Madison County, Florida",12079,38.2,6221,"2918 of 3146"
"Johnson County, Tennessee",47091,38.2,5988,"2917 of 3146"
"Lee County, Virginia",51105,38.2,8546,"2916 of 3146"
"Washington Parish, Louisiana",22117,38.2,16985,"2915 of 3146"
"Marion County, South Carolina",45067,38.2,11745,"2914 of 3146"
"Ware County, Georgia",13299,38.2,12605,"2913 of 3146"
"Jefferson County, Georgia",13163,38.1,5743,"2912 of 3146"
"Norton City, Virginia",51720,38.1,1491,"2911 of 3146"
"Adams County, Washington",53001,38.1,7365,"2910 of 3146"
"Irwin County, Georgia",13155,38.1,3486,"2909 of 3146"
"Macon County, Alabama",01087,38.1,6226,"2908 of 3146"
"Haskell County, Texas",48207,38.0,1999,"2907 of 3146"
"Douglas County, Missouri",29067,38.0,4981,"2906 of 3146"
"Wayne County, Missouri",29223,37.9,4895,"2905 of 3146"
"Barnwell County, South Carolina",45011,37.9,7922,"2904 of 3146"
"Newton County, Mississippi",28101,37.9,7851,"2903 of 3146"
"Conejos County, Colorado",08021,37.9,3066,"2902 of 3146"
"Logan County, West Virginia",54045,37.9,12329,"2901 of 3146"
"Edgecombe County, North Carolina",37065,37.9,19655,"2900 of 3146"
"Alleghany County, North Carolina",37005,37.8,4123,"2899 of 3146"
"Whitman County, Washington",53075,37.8,16000,"2898 of 3146"
"Clay County, West Virginia",54015,37.8,3240,"2897 of 3146"
"Washington County, Florida",12133,37.8,8279,"2896 of 3146"
"Crosby County, Texas",48107,37.8,2174,"2895 of 3146"
"Amite County, Mississippi",28005,37.7,4638,"2894 of 3146"
"Attala County, Mississippi",28007,37.7,6829,"2893 of 3146"
"Pike County, Kentucky",21195,37.7,21964,"2892 of 3146"
"Brantley County, Georgia",13025,37.6,7003,"2891 of 3146"
"Tippah County, Mississippi",28139,37.6,8144,"2890 of 3146"
"Monroe County, Arkansas",05095,37.6,2622,"2889 of 3146"
"Avoyelles Parish, Louisiana",22009,37.6,13878,"2888 of 3146"
"Toombs County, Georgia",13279,37.5,9980,"2887 of 3146"
"Hopewell City, Virginia",51670,37.5,8345,"2886 of 3146"
"Duplin County, North Carolina",37061,37.5,21903,"2885 of 3146"
"Polk County, Arkansas",05113,37.5,7485,"2884 of 3146"
"Mahnomen County, Minnesota",27087,37.5,2019,"2883 of 3146"
"Ouachita County, Arkansas",05103,37.4,8772,"2882 of 3146"
"Colleton County, South Carolina",45029,37.4,13768,"2881 of 3146"
"Panola County, Mississippi",28107,37.4,12679,"2880 of 3146"
"Val Verde County, Texas",48465,37.3,17539,"2879 of 3146"
"Perry County, Mississippi",28111,37.3,4421,"2878 of 3146"
"Laurens County, Georgia",13175,37.3,17262,"2877 of 3146"
"Fentress County, Tennessee",47049,37.3,6620,"2876 of 3146"
"McCurtain County, Oklahoma",40089,37.3,12138,"2875 of 3146"
"Appling County, Georgia",13001,37.3,6702,"2874 of 3146"
"Lake County, Michigan",26085,37.3,4287,"2873 of 3146"
"Bullock County, Alabama",01011,37.2,3644,"2872 of 3146"
"Caldwell Parish, Louisiana",22021,37.2,3544,"2871 of 3146"
"Hardeman County, Tennessee",47069,37.2,7985,"2870 of 3146"
"Lynn County, Texas",48305,37.2,2148,"2869 of 3146"
"Carter County, Kentucky",21043,37.2,9793,"2868 of 3146"
"Vance County, North Carolina",37181,37.2,16291,"2867 of 3146"
"Lauderdale County, Tennessee",47097,37.2,8586,"2866 of 3146"
"McDuffie County, Georgia",13189,37.1,7860,"2865 of 3146"
"Danville City, Virginia",51590,37.1,14608,"2864 of 3146"
"Dodge County, Georgia",13091,37.0,6925,"2863 of 3146"
"Petersburg City, Virginia",51730,37.0,11397,"2862 of 3146"
"Columbus County, North Carolina",37047,37.0,19628,"2861 of 3146"
"Kleberg County, Texas",48273,37.0,10769,"2860 of 3146"
"Lamb County, Texas",48279,37.0,4774,"2859 of 3146"
"Williamsburg County, South Carolina",45089,37.0,10971,"2858 of 3146"
"Yell County, Arkansas",05149,36.9,7818,"2857 of 3146"
"Wilcox County, Georgia",13315,36.9,2482,"2856 of 3146"
"Tattnall County, Georgia",13267,36.9,7040,"2855 of 3146"
"Bulloch County, Georgia",13031,36.9,24948,"2854 of 3146"
"DeKalb County, Alabama",01049,36.9,25929,"2853 of 3146"
"Forrest County, Mississippi",28035,36.8,26369,"2852 of 3146"
"Columbia County, Arkansas",05027,36.7,8060,"2851 of 3146"
"Woodruff County, Arkansas",05147,36.7,2324,"2850 of 3146"
"Brooks County, Georgia",13027,36.7,5664,"2849 of 3146"
"Whitley County, Kentucky",21235,36.7,12509,"2848 of 3146"
"Duval County, Texas",48131,36.6,3902,"2847 of 3146"
"Randolph County, Arkansas",05121,36.6,6311,"2846 of 3146"
"Tunica County, Mississippi",28143,36.6,3541,"2845 of 3146"
"Grayson County, Kentucky",21085,36.6,9474,"2844 of 3146"
"Talbot County, Georgia",13263,36.6,2294,"2843 of 3146"
"Imperial County, California",06025,36.5,62322,"2842 of 3146"
"Briscoe County, Texas",48045,36.5,521,"2841 of 3146"
"Stone County, Arkansas",05137,36.5,4509,"2840 of 3146"
"Ouachita Parish, Louisiana",22073,36.5,54298,"2839 of 3146"
"Yukon-Koyukuk Census Area, Alaska",02290,36.5,1945,"2838 of 3146"
"Isabella County, Michigan",26073,36.5,23431,"2837 of 3146"
"Menifee County, Kentucky",21165,36.5,2318,"2836 of 3146"
"Franklin County, Arkansas",05047,36.5,6348,"2835 of 3146"
"Butler County, Alabama",01013,36.4,7121,"2834 of 3146"
"Searcy County, Arkansas",05129,36.4,2834,"2833 of 3146"
"Orangeburg County, South Carolina",45075,36.4,30880,"2832 of 3146"
"Cook County, Georgia",13075,36.4,6145,"2831 of 3146"
"Berrien County, Georgia",13019,36.3,6857,"2830 of 3146"
"Catron County, New Mexico",35003,36.3,1260,"2829 of 3146"
"Lee County, Arkansas",05077,36.3,2738,"2828 of 3146"
"Hidalgo County, New Mexico",35023,36.3,1517,"2827 of 3146"
"Terry County, Texas",48445,36.3,4174,"2826 of 3146"
