Demographic Data Report by State
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2015-2019 American Community Survey 5-Year Data
Sorted by Value

State, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Surry County, Virginia",51181,24.4,1593,"1568 of 3146"
"Rockdale County, Georgia",13247,24.4,21689,"1567 of 3146"
"Mariposa County, California",06043,24.4,4208,"1566 of 3146"
"Daviess County, Indiana",18027,24.4,7952,"1565 of 3146"
"Tompkins County, New York",36109,24.4,21761,"1564 of 3146"
"Columbiana County, Ohio",39029,24.4,24223,"1563 of 3146"
"Young County, Texas",48503,24.4,4323,"1562 of 3146"
"Stonewall County, Texas",48433,24.4,347,"1561 of 3146"
"Brewster County, Texas",48043,24.4,2193,"1560 of 3146"
"Mills County, Texas",48333,24.4,1148,"1559 of 3146"
"Towns County, Georgia",13281,24.4,2626,"1558 of 3146"
"Crook County, Oregon",41013,24.4,5587,"1557 of 3146"
"Clark County, Kentucky",21049,24.4,8612,"1556 of 3146"
"Ward County, Texas",48475,24.4,2816,"1555 of 3146"
"Wythe County, Virginia",51197,24.4,6947,"1554 of 3146"
"Yuma County, Colorado",08125,24.4,2365,"1553 of 3146"
"Otsego County, Michigan",26137,24.4,5860,"1552 of 3146"
"Millard County, Utah",49027,24.3,3096,"1551 of 3146"
"Harrison County, West Virginia",54033,24.3,16195,"1550 of 3146"
"Nobles County, Minnesota",27105,24.3,5186,"1549 of 3146"
"Marshall County, Indiana",18099,24.3,11094,"1548 of 3146"
"Monroe County, Missouri",29137,24.3,2067,"1547 of 3146"
"Franklin County, Iowa",19069,24.3,2427,"1546 of 3146"
"Penobscot County, Maine",23019,24.3,35299,"1545 of 3146"
"Wayne County, Illinois",17191,24.3,3964,"1544 of 3146"
"Oneida County, New York",36065,24.3,52959,"1543 of 3146"
"Kershaw County, South Carolina",45055,24.3,15735,"1542 of 3146"
"Cass County, Illinois",17017,24.3,2995,"1541 of 3146"
"Fremont County, Idaho",16043,24.3,3022,"1540 of 3146"
"Hardin County, Illinois",17069,24.3,931,"1539 of 3146"
"Pend Oreille County, Washington",53051,24.3,3206,"1538 of 3146"
"Reno County, Kansas",20155,24.3,14534,"1537 of 3146"
"Lake County, Indiana",18089,24.3,116325,"1536 of 3146"
"Essex County, Vermont",50009,24.2,1500,"1535 of 3146"
"Richland County, Ohio",39139,24.2,27501,"1534 of 3146"
"Huron County, Ohio",39077,24.2,13951,"1533 of 3146"
"St. Lucie County, Florida",12111,24.2,75133,"1532 of 3146"
"Creek County, Oklahoma",40037,24.2,17011,"1531 of 3146"
"Brown County, Texas",48049,24.2,8737,"1530 of 3146"
"Washington County, Kentucky",21229,24.2,2817,"1529 of 3146"
"Lewis County, Washington",53041,24.2,18572,"1528 of 3146"
"Spartanburg County, South Carolina",45083,24.1,72219,"1527 of 3146"
"Cambria County, Pennsylvania",42021,24.1,30519,"1526 of 3146"
"Jefferson County, Nebraska",31095,24.1,1696,"1525 of 3146"
"Edwards County, Kansas",20047,24.1,671,"1524 of 3146"
"Bonner County, Idaho",16017,24.1,10381,"1523 of 3146"
"Hudson County, New Jersey",34017,24.1,159586,"1522 of 3146"
"Bay County, Michigan",26017,24.1,24810,"1520 of 3146"
"Winkler County, Texas",48495,24.1,1873,"1520 of 3146"
"Coke County, Texas",48081,24.1,765,"1519 of 3146"
"Duval County, Florida",12031,24.1,220467,"1518 of 3146"
"Thomas County, Kansas",20193,24.1,1778,"1517 of 3146"
"Stephenson County, Illinois",17177,24.1,10652,"1516 of 3146"
"Franklin County, Virginia",51067,24.1,13095,"1515 of 3146"
"Carroll County, Virginia",51035,24.1,7107,"1514 of 3146"
"Clallam County, Washington",53009,24.0,17826,"1513 of 3146"
"Otsego County, New York",36077,24.0,13187,"1512 of 3146"
"Montgomery County, Iowa",19137,24.0,2368,"1511 of 3146"
"Dakota County, Nebraska",31043,24.0,4779,"1510 of 3146"
"Jackson County, Indiana",18071,24.0,10297,"1509 of 3146"
"Kimball County, Nebraska",31105,24.0,860,"1508 of 3146"
"Volusia County, Florida",12127,24.0,126472,"1507 of 3146"
"Lawrence County, Pennsylvania",42073,24.0,20318,"1506 of 3146"
"Franklin County, North Carolina",37069,24.0,15547,"1505 of 3146"
"Greene County, Mississippi",28041,24.0,2347,"1504 of 3146"
"Campbell County, Virginia",51031,24.0,13086,"1503 of 3146"
"Lee County, Mississippi",28081,24.0,20133,"1502 of 3146"
"Beaverhead County, Montana",30001,24.0,2146,"1501 of 3146"
"Fergus County, Montana",30027,24.0,2636,"1500 of 3146"
"Holt County, Missouri",29087,24.0,1034,"1499 of 3146"
"Cortland County, New York",36023,24.0,10636,"1498 of 3146"
"Kerr County, Texas",48265,24.0,12046,"1497 of 3146"
"Worth County, Missouri",29227,24.0,473,"1496 of 3146"
"Linn County, Oregon",41043,24.0,29560,"1495 of 3146"
"Livingston County, Illinois",17105,24.0,8072,"1494 of 3146"
"Washington County, Texas",48477,23.9,7885,"1493 of 3146"
"Menominee County, Michigan",26109,23.9,5426,"1492 of 3146"
"Llano County, Texas",48299,23.9,4976,"1491 of 3146"
"Vermillion County, Indiana",18165,23.9,3649,"1490 of 3146"
"Franklin County, Ohio",39049,23.9,301391,"1489 of 3146"
"Lewis County, New York",36049,23.9,6279,"1488 of 3146"
"Luzerne County, Pennsylvania",42079,23.9,73071,"1487 of 3146"
"Sacramento County, California",06067,23.9,359432,"1486 of 3146"
"Humphreys County, Tennessee",47085,23.9,4291,"1485 of 3146"
"Brown County, Ohio",39015,23.9,10235,"1484 of 3146"
"Grant County, North Dakota",38037,23.9,548,"1483 of 3146"
"Cass County, Iowa",19029,23.9,3062,"1482 of 3146"
"Davidson County, Tennessee",47037,23.9,158955,"1481 of 3146"
"Brown County, Kansas",20013,23.8,2265,"1480 of 3146"
"Stevens County, Washington",53065,23.8,10528,"1479 of 3146"
"Preston County, West Virginia",54077,23.8,7300,"1478 of 3146"
"Cowlitz County, Washington",53015,23.8,25067,"1477 of 3146"
"Hillsborough County, Florida",12057,23.8,333827,"1476 of 3146"
"Keya Paha County, Nebraska",31103,23.8,181,"1475 of 3146"
"Tioga County, Pennsylvania",42117,23.8,9609,"1474 of 3146"
"Doniphan County, Kansas",20043,23.8,1649,"1473 of 3146"
"Clinton County, Indiana",18023,23.8,7470,"1472 of 3146"
"Eddy County, New Mexico",35015,23.7,13503,"1471 of 3146"
"Iroquois County, Illinois",17075,23.7,6434,"1470 of 3146"
"Clayton County, Iowa",19043,23.7,4100,"1469 of 3146"
"Franklin County, Tennessee",47051,23.7,9367,"1468 of 3146"
"Rusk County, Texas",48401,23.7,11547,"1467 of 3146"
"Granville County, North Carolina",37077,23.7,13328,"1466 of 3146"
"Jefferson County, Iowa",19101,23.7,4089,"1465 of 3146"
"Lee County, Iowa",19111,23.7,7776,"1464 of 3146"
"Pleasants County, West Virginia",54073,23.7,1642,"1463 of 3146"
"Graham County, Kansas",20065,23.7,582,"1462 of 3146"
"Gilliam County, Oregon",41021,23.7,442,"1461 of 3146"
"Hamilton County, Ohio",39061,23.7,188315,"1460 of 3146"
"Swift County, Minnesota",27151,23.7,2183,"1459 of 3146"
"Morgan County, Illinois",17137,23.6,7315,"1458 of 3146"
"Blair County, Pennsylvania",42013,23.6,28448,"1457 of 3146"
"Washington County, Virginia",51191,23.6,12330,"1456 of 3146"
"Langlade County, Wisconsin",55067,23.6,4460,"1455 of 3146"
"Lyon County, Minnesota",27083,23.6,5802,"1454 of 3146"
"Lackawanna County, Pennsylvania",42069,23.6,47880,"1453 of 3146"
"Pecos County, Texas",48371,23.6,3185,"1452 of 3146"
"Alexander County, North Carolina",37003,23.6,8449,"1451 of 3146"
"Cleburne County, Arkansas",05023,23.6,5834,"1450 of 3146"
"Union County, Iowa",19175,23.6,2851,"1449 of 3146"
"Garfield County, Utah",49017,23.6,1130,"1448 of 3146"
"Hall County, Georgia",13139,23.6,46359,"1447 of 3146"
"Durham County, North Carolina",37063,23.5,70188,"1446 of 3146"
"Greene County, Indiana",18055,23.5,7468,"1445 of 3146"
"Castro County, Texas",48069,23.5,1784,"1444 of 3146"
"Garfield County, Oklahoma",40047,23.5,14168,"1443 of 3146"
"Stanly County, North Carolina",37167,23.5,14018,"1442 of 3146"
"Waldo County, Maine",23027,23.5,9100,"1441 of 3146"
"Morgan County, West Virginia",54065,23.5,4126,"1440 of 3146"
"Presque Isle County, Michigan",26141,23.5,2950,"1439 of 3146"
"Allen County, Ohio",39003,23.5,23334,"1438 of 3146"
"Gaines County, Texas",48165,23.5,4842,"1437 of 3146"
"Pendleton County, Kentucky",21191,23.5,3372,"1436 of 3146"
"Montrose County, Colorado",08085,23.5,9682,"1435 of 3146"
"Escambia County, Florida",12033,23.5,69412,"1434 of 3146"
"Colusa County, California",06011,23.5,4999,"1433 of 3146"
"Noble County, Ohio",39121,23.5,2826,"1432 of 3146"
"Catawba County, North Carolina",37035,23.5,36376,"1431 of 3146"
"Mitchell County, Kansas",20123,23.5,1389,"1430 of 3146"
"Carbon County, Wyoming",56007,23.5,3394,"1429 of 3146"
"Bond County, Illinois",17005,23.5,3482,"1428 of 3146"
"St. Clair County, Illinois",17163,23.5,60617,"1427 of 3146"
"Chemung County, New York",36015,23.5,18853,"1426 of 3146"
"Buffalo County, Nebraska",31019,23.5,10984,"1425 of 3146"
"Marinette County, Wisconsin",55075,23.5,9255,"1424 of 3146"
"Hill County, Texas",48217,23.4,8122,"1423 of 3146"
"Pope County, Illinois",17151,23.4,948,"1422 of 3146"
"Union County, Georgia",13291,23.4,5318,"1421 of 3146"
"Johnson County, Missouri",29101,23.4,11493,"1420 of 3146"
"Huron County, Michigan",26063,23.4,7238,"1419 of 3146"
"Hamilton County, Kansas",20075,23.4,607,"1418 of 3146"
"Lincoln County, New Mexico",35027,23.4,4490,"1417 of 3146"
"Venango County, Pennsylvania",42121,23.4,11852,"1416 of 3146"
"Clark County, Wisconsin",55019,23.4,7941,"1415 of 3146"
"Coffee County, Alabama",01031,23.4,11915,"1414 of 3146"
"Fredericksburg City, Virginia",51630,23.4,6107,"1413 of 3146"
"Northumberland County, Pennsylvania",42097,23.4,20488,"1412 of 3146"
"Jackson County, Missouri",29095,23.4,160102,"1411 of 3146"
"Autauga County, Alabama",01001,23.4,12836,"1410 of 3146"
"Denali, Alaska",02068,23.4,507,"1409 of 3146"
"Warren County, Missouri",29219,23.4,7976,"1408 of 3146"
"Moffat County, Colorado",08081,23.3,3036,"1407 of 3146"
"Hawaii County, Hawaii",15001,23.3,45830,"1406 of 3146"
"Colorado County, Texas",48089,23.3,4850,"1405 of 3146"
"Mesa County, Colorado",08077,23.3,34501,"1404 of 3146"
"Ness County, Kansas",20135,23.3,657,"1403 of 3146"
"Yavapai County, Arizona",04025,23.3,52052,"1402 of 3146"
"DeKalb County, Illinois",17037,23.3,23253,"1401 of 3146"
"Washington County, Oklahoma",40147,23.3,11844,"1400 of 3146"
"Columbia County, Pennsylvania",42037,23.3,14212,"1399 of 3146"
"Roane County, Tennessee",47145,23.3,12176,"1398 of 3146"
"Kingfisher County, Oklahoma",40073,23.3,3603,"1397 of 3146"
"Wood County, Texas",48499,23.3,9959,"1396 of 3146"
"Stokes County, North Carolina",37169,23.3,10532,"1395 of 3146"
"Randolph County, Illinois",17157,23.3,6623,"1394 of 3146"
"Mower County, Minnesota",27099,23.3,9082,"1393 of 3146"
"Cascade County, Montana",30013,23.2,18452,"1391 of 3146"
"Gunnison County, Colorado",08051,23.2,3736,"1391 of 3146"
"Lyon County, Kentucky",21143,23.2,1618,"1390 of 3146"
"Phillips County, Montana",30071,23.2,934,"1389 of 3146"
"Riverside County, California",06065,23.2,551231,"1388 of 3146"
"Aitkin County, Minnesota",27001,23.2,3620,"1387 of 3146"
"Santa Fe County, New Mexico",35049,23.2,34057,"1386 of 3146"
"Cook County, Illinois",17031,23.2,1186523,"1385 of 3146"
"Houston County, Georgia",13153,23.2,35087,"1384 of 3146"
"Windham County, Vermont",50025,23.2,9539,"1383 of 3146"
"Providence County, Rhode Island",44007,23.2,141417,"1382 of 3146"
"Stephens County, Georgia",13257,23.2,5757,"1381 of 3146"
"Flagler County, Florida",12035,23.2,25194,"1380 of 3146"
"Red Willow County, Nebraska",31145,23.2,2397,"1379 of 3146"
"Orleans County, Vermont",50019,23.1,6031,"1378 of 3146"
"Atchison County, Kansas",20005,23.1,3451,"1377 of 3146"
"Lassen County, California",06035,23.1,4862,"1376 of 3146"
"Howard County, Indiana",18067,23.1,18712,"1375 of 3146"
"Buena Vista County, Iowa",19021,23.1,4403,"1374 of 3146"
"Koochiching County, Minnesota",27071,23.1,2830,"1373 of 3146"
"Clark County, Nevada",32003,23.1,498161,"1372 of 3146"
"Price County, Wisconsin",55099,23.1,3048,"1371 of 3146"
"Montgomery County, Tennessee",47125,23.1,45265,"1370 of 3146"
"Van Buren County, Iowa",19177,23.1,1632,"1369 of 3146"
"Dunn County, Wisconsin",55033,23.1,9479,"1368 of 3146"
"Chase County, Kansas",20017,23.1,588,"1367 of 3146"
"Ford County, Illinois",17053,23.1,2969,"1366 of 3146"
"Clinton County, Iowa",19045,23.1,10563,"1365 of 3146"
"Washita County, Oklahoma",40149,23.1,2507,"1364 of 3146"
"Williamson County, Illinois",17199,23.1,14917,"1363 of 3146"
"Richland County, Wisconsin",55103,23.1,3944,"1362 of 3146"
"Washington County, Ohio",39167,23.1,13532,"1361 of 3146"
"Dawson County, Nebraska",31047,23.1,5394,"1360 of 3146"
"Aleutians East Borough, Alaska",02013,23.1,779,"1359 of 3146"
"Marquette County, Michigan",26103,23.1,14489,"1358 of 3146"
"Cumberland County, Illinois",17035,23.1,2463,"1357 of 3146"
"Pulaski County, Indiana",18131,23.0,2861,"1356 of 3146"
"Bay County, Florida",12005,23.0,41378,"1355 of 3146"
"Madison County, Nebraska",31119,23.0,7824,"1354 of 3146"
"Floyd County, Iowa",19067,23.0,3581,"1353 of 3146"
"Coleman County, Texas",48083,23.0,1895,"1352 of 3146"
"Buncombe County, North Carolina",37021,23.0,57584,"1351 of 3146"
"Harney County, Oregon",41025,23.0,1639,"1350 of 3146"
"McPherson County, South Dakota",46089,23.0,505,"1349 of 3146"
"Ramsey County, Minnesota",27123,23.0,122025,"1348 of 3146"
"Pinal County, Arizona",04021,23.0,93156,"1347 of 3146"
"Morgan County, Colorado",08087,23.0,6452,"1346 of 3146"
"Simpson County, Kentucky",21213,23.0,4072,"1345 of 3146"
"Bandera County, Texas",48019,23.0,5053,"1344 of 3146"
"Mason County, Washington",53045,23.0,14360,"1343 of 3146"
"Rush County, Indiana",18139,23.0,3754,"1342 of 3146"
"Adams County, Wisconsin",55001,23.0,4345,"1341 of 3146"
"Allen County, Indiana",18003,23.0,84113,"1340 of 3146"
"Herkimer County, New York",36043,22.9,13975,"1339 of 3146"
"Richardson County, Nebraska",31147,22.9,1788,"1338 of 3146"
"Grayson County, Texas",48181,22.9,29423,"1337 of 3146"
"Baker County, Florida",12003,22.9,5757,"1336 of 3146"
"Kalamazoo County, Michigan",26077,22.9,58369,"1335 of 3146"
"Meagher County, Montana",30059,22.9,427,"1334 of 3146"
"New York County, New York",36061,22.9,362818,"1333 of 3146"
"Bradford County, Pennsylvania",42015,22.9,13770,"1332 of 3146"
"Macon County, Missouri",29121,22.9,3410,"1331 of 3146"
"Davison County, South Dakota",46035,22.9,4339,"1330 of 3146"
"Dickinson County, Kansas",20041,22.9,4209,"1329 of 3146"
"Knox County, Tennessee",47093,22.9,102952,"1328 of 3146"
"Anderson County, Kentucky",21005,22.9,5071,"1327 of 3146"
"Tillamook County, Oregon",41057,22.8,5862,"1326 of 3146"
"Santa Barbara County, California",06083,22.8,97011,"1324 of 3146"
"Spokane County, Washington",53063,22.8,112054,"1323 of 3146"
"Jackson County, Wisconsin",55053,22.8,4380,"1322 of 3146"
"Wallowa County, Oregon",41063,22.8,1575,"1321 of 3146"
"Pender County, North Carolina",37141,22.8,13455,"1320 of 3146"
"Green Lake County, Wisconsin",55047,22.8,4208,"1319 of 3146"
"Monona County, Iowa",19133,22.8,1939,"1318 of 3146"
"Osborne County, Kansas",20141,22.8,778,"1317 of 3146"
"Fannin County, Georgia",13111,22.8,5706,"1316 of 3146"
"Tom Green County, Texas",48451,22.8,25514,"1315 of 3146"
"Clark County, South Dakota",46025,22.7,818,"1314 of 3146"
"Watonwan County, Minnesota",27165,22.7,2463,"1313 of 3146"
"Hampton City, Virginia",51650,22.7,29568,"1312 of 3146"
"Woods County, Oklahoma",40151,22.7,1854,"1311 of 3146"
"Osage County, Kansas",20139,22.7,3543,"1310 of 3146"
"Amherst County, Virginia",51009,22.7,7039,"1309 of 3146"
"Lee County, Texas",48287,22.7,3768,"1308 of 3146"
"Rice County, Kansas",20159,22.7,2028,"1307 of 3146"
"Wasco County, Oregon",41065,22.7,5824,"1306 of 3146"
"Macoupin County, Illinois",17117,22.7,10093,"1305 of 3146"
"Logan County, Oklahoma",40083,22.7,10235,"1304 of 3146"
"Kent County, Delaware",10001,22.7,38758,"1303 of 3146"
"Phillips County, Kansas",20147,22.7,1180,"1302 of 3146"
"Franklin County, Maine",23007,22.7,6504,"1301 of 3146"
"Dickson County, Tennessee",47043,22.7,11793,"1300 of 3146"
"Jackson County, Michigan",26075,22.6,33703,"1299 of 3146"
"Hancock County, Illinois",17067,22.6,4026,"1298 of 3146"
"Jefferson County, Kentucky",21111,22.6,170020,"1297 of 3146"
"Big Horn County, Wyoming",56003,22.6,2625,"1296 of 3146"
"Burnett County, Wisconsin",55013,22.6,3416,"1295 of 3146"
"Juniata County, Pennsylvania",42067,22.6,5501,"1294 of 3146"
"Kandiyohi County, Minnesota",27067,22.6,9479,"1293 of 3146"
"Churchill County, Nevada",32001,22.6,5352,"1292 of 3146"
"Wright County, Iowa",19197,22.6,2823,"1291 of 3146"
"Coos County, New Hampshire",33007,22.6,6634,"1290 of 3146"
"Grant County, Arkansas",05053,22.6,4036,"1289 of 3146"
"Dodge County, Nebraska",31053,22.6,8024,"1288 of 3146"
"Sedgwick County, Kansas",20173,22.6,114395,"1287 of 3146"
"Franklin County, Nebraska",31061,22.6,657,"1286 of 3146"
"Logan County, Nebraska",31113,22.5,207,"1285 of 3146"
"Clinton County, New York",36019,22.5,16380,"1284 of 3146"
"Cottonwood County, Minnesota",27033,22.5,2493,"1283 of 3146"
"Hall County, Nebraska",31079,22.5,13529,"1282 of 3146"
"District of Columbia",11001,22.5,148589,"1281 of 3146"
"Broward County, Florida",12011,22.5,429662,"1280 of 3146"
"Brooke County, West Virginia",54009,22.5,4814,"1279 of 3146"
"Douglas County, Washington",53017,22.5,9415,"1278 of 3146"
"Moore County, Texas",48341,22.5,4755,"1277 of 3146"
"Humboldt County, Iowa",19091,22.5,2117,"1276 of 3146"
"Ohio County, West Virginia",54069,22.5,8936,"1275 of 3146"
"Mercer County, Kentucky",21167,22.5,4804,"1274 of 3146"
"Christian County, Illinois",17021,22.5,7001,"1273 of 3146"
"Ralls County, Missouri",29173,22.5,2267,"1272 of 3146"
"Emery County, Utah",49015,22.4,2254,"1271 of 3146"
"Emmet County, Iowa",19063,22.4,1906,"1270 of 3146"
"Camden County, Missouri",29029,22.4,10029,"1269 of 3146"
"Washburn County, Wisconsin",55129,22.4,3468,"1268 of 3146"
"Fayette County, Texas",48149,22.4,5541,"1267 of 3146"
"Lincoln County, Washington",53043,22.4,2337,"1266 of 3146"
"Greenlee County, Arizona",04011,22.4,2106,"1265 of 3146"
"Ravalli County, Montana",30081,22.4,9440,"1264 of 3146"
"Madison County, Texas",48313,22.4,2457,"1263 of 3146"
"Missoula County, Montana",30063,22.4,25617,"1262 of 3146"
"Barrow County, Georgia",13013,22.4,17600,"1261 of 3146"
"Somerset County, Pennsylvania",42111,22.4,15460,"1260 of 3146"
"Bon Homme County, South Dakota",46009,22.4,1211,"1259 of 3146"
"Pine County, Minnesota",27115,22.4,6131,"1258 of 3146"
"Sherman County, Nebraska",31163,22.4,663,"1257 of 3146"
"St. Louis County, Minnesota",27137,22.4,42890,"1256 of 3146"
"Carter County, Montana",30011,22.3,292,"1255 of 3146"
"Fannin County, Texas",48147,22.3,7053,"1254 of 3146"
"Fremont County, Wyoming",56013,22.3,8678,"1253 of 3146"
"Yoakum County, Texas",48501,22.3,1927,"1252 of 3146"
"Freeborn County, Minnesota",27047,22.3,6678,"1251 of 3146"
"Toole County, Montana",30101,22.3,941,"1250 of 3146"
"LaMoure County, North Dakota",38045,22.3,899,"1249 of 3146"
"Maricopa County, Arizona",04013,22.3,952430,"1248 of 3146"
"Pasco County, Florida",12101,22.3,115109,"1247 of 3146"
"Carson City, Nevada",32510,22.3,11711,"1246 of 3146"
"Lake County, Florida",12069,22.3,76123,"1245 of 3146"
"Lee County, Florida",12071,22.3,162220,"1244 of 3146"
"Adams County, Nebraska",31001,22.3,6674,"1243 of 3146"
"Hamilton County, Tennessee",47065,22.3,77943,"1242 of 3146"
"Schuylkill County, Pennsylvania",42107,22.2,30052,"1241 of 3146"
"Curry County, Oregon",41015,22.2,4997,"1240 of 3146"
"Cayuga County, New York",36011,22.2,16186,"1239 of 3146"
"Teton County, Montana",30099,22.2,1328,"1238 of 3146"
"Woodbury County, Iowa",19193,22.2,22148,"1237 of 3146"
"Wayne County, Nebraska",31179,22.2,1783,"1236 of 3146"
"Pennington County, South Dakota",46103,22.2,23927,"1235 of 3146"
"Mercer County, Pennsylvania",42085,22.2,23082,"1234 of 3146"
"Russell County, Kansas",20167,22.2,1515,"1233 of 3146"
"Jennings County, Indiana",18079,22.2,6062,"1232 of 3146"
"Appomattox County, Virginia",51011,22.2,3461,"1231 of 3146"
"Callahan County, Texas",48059,22.1,3036,"1230 of 3146"
"Hamilton County, New York",36041,22.1,992,"1229 of 3146"
"Walla Walla County, Washington",53071,22.1,12238,"1228 of 3146"
"Hardin County, Kentucky",21093,22.1,23305,"1227 of 3146"
"Vilas County, Wisconsin",55125,22.1,4753,"1226 of 3146"
"Lane County, Kansas",20101,22.1,345,"1225 of 3146"
"Seneca County, Ohio",39147,22.1,11510,"1224 of 3146"
"Brookings County, South Dakota",46011,22.1,6884,"1223 of 3146"
"Gates County, North Carolina",37073,22.1,2539,"1222 of 3146"
"Mineral County, West Virginia",54057,22.1,5814,"1221 of 3146"
"Codington County, South Dakota",46029,22.1,6101,"1220 of 3146"
"Huntingdon County, Pennsylvania",42061,22.1,8806,"1219 of 3146"
"Johnston County, North Carolina",37101,22.1,43086,"1218 of 3146"
"Stewart County, Tennessee",47161,22.1,2927,"1217 of 3146"
"Lincoln County, Colorado",08073,22.1,771,"1216 of 3146"
"Custer County, Nebraska",31041,22.1,2348,"1214 of 3146"
"Ste. Genevieve County, Missouri",29186,22.1,3874,"1214 of 3146"
"Mason County, Texas",48319,22.1,923,"1213 of 3146"
"Douglas County, Illinois",17041,22.1,4264,"1212 of 3146"
"Kankakee County, Illinois",17091,22.1,23446,"1211 of 3146"
"Gove County, Kansas",20063,22.1,572,"1210 of 3146"
"Haywood County, North Carolina",37087,22.1,13302,"1209 of 3146"
"Washington County, Indiana",18175,22.1,6080,"1208 of 3146"
"Orange County, Texas",48361,22.0,18268,"1207 of 3146"
"Tuscarawas County, Ohio",39157,22.0,20037,"1206 of 3146"
"Lucas County, Iowa",19117,22.0,1850,"1205 of 3146"
"Pulaski County, Virginia",51155,22.0,7249,"1204 of 3146"
"Taylor County, Iowa",19173,22.0,1329,"1203 of 3146"
"Bedford County, Pennsylvania",42009,22.0,10505,"1202 of 3146"
"Mitchell County, Texas",48335,22.0,1391,"1201 of 3146"
"Elkhart County, Indiana",18039,22.0,44214,"1200 of 3146"
"Caledonia County, Vermont",50005,22.0,6413,"1199 of 3146"
"Jeff Davis County, Texas",48243,22.0,479,"1198 of 3146"
"Douglas County, Georgia",13097,22.0,31152,"1197 of 3146"
"Walton County, Florida",12131,22.0,14560,"1196 of 3146"
"Kennebec County, Maine",23011,22.0,25937,"1195 of 3146"
"Clark County, Illinois",17023,22.0,3393,"1194 of 3146"
"Niagara County, New York",36063,22.0,45473,"1193 of 3146"
"Bastrop County, Texas",48021,22.0,18046,"1192 of 3146"
"Warren County, Illinois",17187,21.9,3515,"1191 of 3146"
"Fulton County, Georgia",13121,21.9,220148,"1190 of 3146"
"Lycoming County, Pennsylvania",42081,21.9,23649,"1189 of 3146"
"Burt County, Nebraska",31021,21.9,1405,"1188 of 3146"
"Clay County, Nebraska",31035,21.9,1334,"1187 of 3146"
"Ashland County, Ohio",39005,21.9,11181,"1186 of 3146"
"Greene County, New York",36039,21.9,9637,"1185 of 3146"
"Monroe County, New York",36055,21.9,157075,"1184 of 3146"
"Lawrence County, Indiana",18093,21.9,9771,"1183 of 3146"
"Decatur County, Kansas",20039,21.8,607,"1182 of 3146"
"Westmoreland County, Virginia",51193,21.8,3862,"1181 of 3146"
"Washington County, Colorado",08121,21.8,993,"1180 of 3146"
"Sullivan County, Pennsylvania",42113,21.8,1293,"1179 of 3146"
"Duchesne County, Utah",49013,21.8,4308,"1178 of 3146"
"Pike County, Indiana",18125,21.8,2637,"1177 of 3146"
"Limestone County, Alabama",01083,21.8,19973,"1176 of 3146"
"Walsh County, North Dakota",38099,21.8,2300,"1175 of 3146"
"Pipestone County, Minnesota",27117,21.8,1969,"1174 of 3146"
"Erie County, New York",36029,21.8,194564,"1173 of 3146"
"Sheridan County, North Dakota",38083,21.8,303,"1172 of 3146"
"Atlantic County, New Jersey",34001,21.8,56682,"1171 of 3146"
"Jefferson County, Indiana",18077,21.8,6460,"1170 of 3146"
"Wabash County, Indiana",18169,21.8,6395,"1169 of 3146"
"Clay County, Indiana",18021,21.7,5536,"1168 of 3146"
"Clark County, Kansas",20025,21.7,425,"1167 of 3146"
"Androscoggin County, Maine",23001,21.7,22668,"1166 of 3146"
"Monroe County, Georgia",13207,21.7,5670,"1165 of 3146"
"Fremont County, Iowa",19071,21.7,1469,"1164 of 3146"
"Colonial Heights City, Virginia",51570,21.7,3738,"1163 of 3146"
"Whatcom County, Washington",53073,21.7,46825,"1162 of 3146"
"Fayette County, Iowa",19065,21.7,4153,"1161 of 3146"
"Todd County, Minnesota",27153,21.7,5247,"1160 of 3146"
"Crawford County, Wisconsin",55023,21.7,3348,"1159 of 3146"
"Lancaster County, Virginia",51103,21.7,2302,"1158 of 3146"
"Wabash County, Illinois",17185,21.7,2477,"1157 of 3146"
"Rock Island County, Illinois",17161,21.7,30089,"1156 of 3146"
"Shackelford County, Texas",48417,21.7,708,"1155 of 3146"
"Morton County, Kansas",20129,21.6,579,"1154 of 3146"
"Greene County, Illinois",17061,21.6,2758,"1153 of 3146"
"Tucker County, West Virginia",54093,21.6,1465,"1152 of 3146"
"Seneca County, New York",36099,21.6,6801,"1151 of 3146"
"Warren County, Pennsylvania",42123,21.6,8441,"1150 of 3146"
"Indian River County, Florida",12061,21.6,32966,"1149 of 3146"
"Sangamon County, Illinois",17167,21.6,41669,"1148 of 3146"
"Barron County, Wisconsin",55005,21.6,9589,"1147 of 3146"
"Brown County, Illinois",17009,21.6,1022,"1146 of 3146"
"Onondaga County, New York",36067,21.6,95894,"1145 of 3146"
"Clatsop County, Oregon",41007,21.6,8318,"1144 of 3146"
"Southampton County, Virginia",51175,21.6,3536,"1143 of 3146"
"Humboldt County, Nevada",32013,21.6,3585,"1142 of 3146"
"Lipscomb County, Texas",48295,21.6,716,"1141 of 3146"
"Stark County, Ohio",39151,21.6,78181,"1140 of 3146"
"Upton County, Texas",48461,21.6,774,"1139 of 3146"
"Kit Carson County, Colorado",08063,21.6,1498,"1138 of 3146"
"Louisa County, Virginia",51109,21.5,7684,"1137 of 3146"
"Multnomah County, Oregon",41051,21.5,170102,"1136 of 3146"
