Demographic Data Report by State
"Insurance: Percent insured in demographic group, all income levels"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2019 Small Area Health Insurance Estimates Data
Sorted by Value

State, FIPS,Value (Percent),People (Insured),Rank within US
"Teller County, Colorado",08119,92.0,17790,"764 of 3139"
"West Baton Rouge Parish, Louisiana",22121,92.0,20277,"764 of 3139"
"Williamsburg City, Virginia",51830,92.0,7416,"764 of 3139"
"York County, Nebraska",31185,92.0,9323,"764 of 3139"
"Barren County, Kentucky",21009,91.9,32708,"793 of 3139"
"Boone County, West Virginia",54005,91.9,15394,"793 of 3139"
"Columbiana County, Ohio",39029,91.9,70817,"793 of 3139"
"Cumberland County, Kentucky",21057,91.9,4607,"793 of 3139"
"Davis County, Utah",49011,91.9,292559,"793 of 3139"
"Emmet County, Michigan",26047,91.9,23362,"793 of 3139"
"Geary County, Kansas",20061,91.9,25443,"793 of 3139"
"Hardin County, Illinois",17069,91.9,2557,"793 of 3139"
"Hillsdale County, Michigan",26059,91.9,32203,"793 of 3139"
"Kanawha County, West Virginia",54039,91.9,126558,"793 of 3139"
"Kandiyohi County, Minnesota",27067,91.9,31426,"793 of 3139"
"Lehigh County, Pennsylvania",42077,91.9,274529,"793 of 3139"
"Lucas County, Ohio",39095,91.9,320963,"793 of 3139"
"Mecosta County, Michigan",26107,91.9,29402,"793 of 3139"
"Menifee County, Kentucky",21165,91.9,4618,"793 of 3139"
"Montgomery County, Maryland",24031,91.9,805290,"793 of 3139"
"Nelson County, North Dakota",38063,91.9,1919,"793 of 3139"
"Perry County, Indiana",18123,91.9,12915,"793 of 3139"
"Rock Island County, Illinois",17161,91.9,100666,"793 of 3139"
"Shasta County, California",06089,91.9,128424,"793 of 3139"
"Taylor County, West Virginia",54091,91.9,11733,"793 of 3139"
"Trempealeau County, Wisconsin",55121,91.9,21901,"793 of 3139"
"Wapello County, Iowa",19179,91.9,25430,"793 of 3139"
"Webster County, West Virginia",54101,91.9,5583,"793 of 3139"
"Winnebago County, Illinois",17201,91.9,209321,"793 of 3139"
"Yuba County, California",06115,91.9,61394,"793 of 3139"
"Bradford County, Pennsylvania",42015,91.8,42762,"819 of 3139"
"Brown County, Ohio",39015,91.8,32207,"819 of 3139"
"Camden County, New Jersey",34007,91.8,384735,"819 of 3139"
"Carroll County, Kentucky",21041,91.8,7997,"819 of 3139"
"Centre County, Pennsylvania",42027,91.8,109703,"819 of 3139"
"Charlevoix County, Michigan",26029,91.8,17853,"819 of 3139"
"Clarion County, Pennsylvania",42031,91.8,26624,"819 of 3139"
"Clatsop County, Oregon",41007,91.8,27705,"819 of 3139"
"Coffey County, Kansas",20031,91.8,5843,"819 of 3139"
"Crittenden County, Kentucky",21055,91.8,6167,"819 of 3139"
"Darke County, Ohio",39037,91.8,37253,"819 of 3139"
"Harlan County, Kentucky",21095,91.8,18680,"819 of 3139"
"Indiana County, Pennsylvania",42063,91.8,57463,"819 of 3139"
"Isle of Wight County, Virginia",51093,91.8,27206,"819 of 3139"
"Jessamine County, Kentucky",21113,91.8,40625,"819 of 3139"
"Lake County, Illinois",17097,91.8,532547,"819 of 3139"
"Lancaster County, Nebraska",31109,91.8,238372,"819 of 3139"
"Lebanon County, Pennsylvania",42075,91.8,101797,"819 of 3139"
"Lewis County, West Virginia",54041,91.8,11298,"819 of 3139"
"Manistee County, Michigan",26101,91.8,15484,"819 of 3139"
"Mason County, Kentucky",21161,91.8,12471,"819 of 3139"
"Mason County, Michigan",26105,91.8,20034,"819 of 3139"
"Metcalfe County, Kentucky",21169,91.8,7315,"819 of 3139"
"Norton City, Virginia",51720,91.8,2928,"819 of 3139"
"Ontonagon County, Michigan",26131,91.8,3246,"819 of 3139"
"San Joaquin County, California",06077,91.8,593614,"819 of 3139"
"Union County, South Dakota",46127,91.8,12076,"819 of 3139"
"Virginia Beach City, Virginia",51810,91.8,344050,"819 of 3139"
"Walworth County, Wisconsin",55127,91.8,75324,"819 of 3139"
"West Feliciana Parish, Louisiana",22125,91.8,7460,"819 of 3139"
"Alger County, Michigan",26003,91.7,5315,"849 of 3139"
"Belknap County, New Hampshire",33001,91.7,42965,"849 of 3139"
"Benton County, Washington",53005,91.7,156468,"849 of 3139"
"Cabell County, West Virginia",54011,91.7,65034,"849 of 3139"
"Dearborn County, Indiana",18029,91.7,36855,"849 of 3139"
"Door County, Wisconsin",55029,91.7,17477,"849 of 3139"
"Eddy County, North Dakota",38027,91.7,1588,"849 of 3139"
"Emporia City, Virginia",51595,91.7,3775,"849 of 3139"
"Gallatin County, Montana",30031,91.7,89287,"849 of 3139"
"Huron County, Michigan",26063,91.7,20851,"849 of 3139"
"Jackson County, Illinois",17077,91.7,40706,"849 of 3139"
"Johnson County, Indiana",18081,91.7,122497,"849 of 3139"
"Kent County, Maryland",24029,91.7,11908,"849 of 3139"
"Laurel County, Kentucky",21125,91.7,45599,"849 of 3139"
"Leslie County, Kentucky",21131,91.7,7119,"849 of 3139"
"Lincoln County, West Virginia",54043,91.7,14810,"849 of 3139"
"Logan County, Kentucky",21141,91.7,19938,"849 of 3139"
"Lonoke County, Arkansas",05085,91.7,57960,"849 of 3139"
"Monroe County, Pennsylvania",42089,91.7,124135,"849 of 3139"
"Montcalm County, Michigan",26117,91.7,45233,"849 of 3139"
"Muhlenberg County, Kentucky",21177,91.7,21250,"849 of 3139"
"Multnomah County, Oregon",41051,91.7,632813,"849 of 3139"
"Pembina County, North Dakota",38067,91.7,4711,"849 of 3139"
"Pulaski County, Virginia",51155,91.7,23017,"849 of 3139"
"Redwood County, Minnesota",27127,91.7,10732,"849 of 3139"
"Roscommon County, Michigan",26143,91.7,14448,"849 of 3139"
"Sauk County, Wisconsin",55111,91.7,47375,"849 of 3139"
"Scioto County, Ohio",39145,91.7,53366,"849 of 3139"
"St. Louis County, Missouri",29189,91.7,733104,"849 of 3139"
"Taylor County, Iowa",19173,91.7,4294,"849 of 3139"
"Tioga County, Pennsylvania",42117,91.7,27791,"849 of 3139"
"Wahkiakum County, Washington",53069,91.7,2722,"849 of 3139"
"Warren County, Indiana",18171,91.7,5980,"849 of 3139"
"Yates County, New York",36123,91.7,16834,"849 of 3139"
"Yellowstone County, Montana",30111,91.7,120460,"849 of 3139"
"Bedford County, Pennsylvania",42009,91.6,33187,"884 of 3139"
"Bergen County, New Jersey",34003,91.6,700406,"884 of 3139"
"Bottineau County, North Dakota",38009,91.6,4175,"884 of 3139"
"Carroll County, Ohio",39019,91.6,19187,"884 of 3139"
"Clay County, West Virginia",54015,91.6,6066,"884 of 3139"
"Del Norte County, California",06015,91.6,17955,"884 of 3139"
"Estill County, Kentucky",21065,91.6,10196,"884 of 3139"
"Florence County, Wisconsin",55037,91.6,2839,"884 of 3139"
"Houghton County, Michigan",26061,91.6,24527,"884 of 3139"
"Iron County, Michigan",26071,91.6,6879,"884 of 3139"
"Jackson County, Kentucky",21109,91.6,9805,"884 of 3139"
"Jackson County, Ohio",39079,91.6,24145,"884 of 3139"
"Larue County, Kentucky",21123,91.6,10562,"884 of 3139"
"Linn County, Oregon",41043,91.6,94574,"884 of 3139"
"Martinsville City, Virginia",51690,91.6,9079,"884 of 3139"
"Mille Lacs County, Minnesota",27095,91.6,19140,"884 of 3139"
"Pierce County, Nebraska",31139,91.6,5224,"884 of 3139"
"Pope County, Illinois",17151,91.6,2680,"884 of 3139"
"Pulaski County, Illinois",17153,91.6,3706,"884 of 3139"
"Robertson County, Kentucky",21201,91.6,1483,"884 of 3139"
"Stanislaus County, California",06099,91.6,429824,"884 of 3139"
"Summers County, West Virginia",54089,91.6,7665,"884 of 3139"
"Tama County, Iowa",19171,91.6,12262,"884 of 3139"
"Union County, Illinois",17181,91.6,11831,"884 of 3139"
"Union County, Kentucky",21225,91.6,10822,"884 of 3139"
"Union County, Pennsylvania",42119,91.6,25960,"884 of 3139"
"Wayne County, Illinois",17191,91.6,11454,"884 of 3139"
"Wayne County, Kentucky",21231,91.6,14107,"884 of 3139"
"Adair County, Kentucky",21001,91.5,13009,"912 of 3139"
"Allen County, Kentucky",21003,91.5,15748,"912 of 3139"
"Benzie County, Michigan",26019,91.5,11757,"912 of 3139"
"Berrien County, Michigan",26021,91.5,109360,"912 of 3139"
"Boone County, Illinois",17007,91.5,40843,"912 of 3139"
"Bronx County, New York",36005,91.5,1075387,"912 of 3139"
"Caroline County, Maryland",24011,91.5,25245,"912 of 3139"
"Christian County, Kentucky",21047,91.5,50868,"912 of 3139"
"Clark County, Ohio",39023,91.5,95606,"912 of 3139"
"Fayette County, Ohio",39047,91.5,20945,"912 of 3139"
"Franklin County, Pennsylvania",42055,91.5,111922,"912 of 3139"
"Gogebic County, Michigan",26053,91.5,8944,"912 of 3139"
"Hancock County, West Virginia",54029,91.5,20028,"912 of 3139"
"King William County, Virginia",51101,91.5,13048,"912 of 3139"
"Lincoln County, Nebraska",31111,91.5,25156,"912 of 3139"
"Lyon County, Kentucky",21143,91.5,4571,"912 of 3139"
"McHenry County, North Dakota",38049,91.5,4135,"912 of 3139"
"Milwaukee County, Wisconsin",55079,91.5,718368,"912 of 3139"
"Nevada County, Arkansas",05099,91.5,5842,"912 of 3139"
"Ohio County, Indiana",18115,91.5,4151,"912 of 3139"
"Owen County, Kentucky",21187,91.5,8017,"912 of 3139"
"Preston County, West Virginia",54077,91.5,22653,"912 of 3139"
"Putnam County, Indiana",18133,91.5,24317,"912 of 3139"
"Salem County, New Jersey",34033,91.5,45577,"912 of 3139"
"Saline County, Arkansas",05125,91.5,91525,"912 of 3139"
"Susquehanna County, Pennsylvania",42115,91.5,27771,"912 of 3139"
"Trigg County, Kentucky",21221,91.5,10216,"912 of 3139"
"Union County, Oregon",41061,91.5,18566,"912 of 3139"
"Wabaunsee County, Kansas",20197,91.5,4958,"912 of 3139"
"Warren County, Illinois",17187,91.5,11434,"912 of 3139"
"Wicomico County, Maryland",24045,91.5,75621,"912 of 3139"
"Williams County, North Dakota",38105,91.5,31152,"912 of 3139"
"Atchison County, Kansas",20005,91.4,11038,"944 of 3139"
"Branch County, Michigan",26023,91.4,30696,"944 of 3139"
"Buffalo County, Wisconsin",55011,91.4,9114,"944 of 3139"
"Crawford County, Pennsylvania",42039,91.4,57635,"944 of 3139"
"Doddridge County, West Virginia",54017,91.4,5029,"944 of 3139"
"Gilliam County, Oregon",41021,91.4,1253,"944 of 3139"
"Greensville County, Virginia",51081,91.4,5631,"944 of 3139"
"Jefferson County, Washington",53031,91.4,17751,"944 of 3139"
"Knott County, Kentucky",21119,91.4,10208,"944 of 3139"
"Lake County, South Dakota",46079,91.4,8476,"944 of 3139"
"Morrow County, Ohio",39117,91.4,26305,"944 of 3139"
"Moultrie County, Illinois",17139,91.4,10577,"944 of 3139"
"New Kent County, Virginia",51127,91.4,16911,"944 of 3139"
"Ouachita County, Arkansas",05103,91.4,16538,"944 of 3139"
"Ouray County, Colorado",08091,91.4,3291,"944 of 3139"
"Pike County, Ohio",39131,91.4,20436,"944 of 3139"
"Pine County, Minnesota",27115,91.4,19635,"944 of 3139"
"Polk County, Oregon",41053,91.4,62621,"944 of 3139"
"Taylor County, Wisconsin",55119,91.4,14744,"944 of 3139"
"York County, Maine",23031,91.4,148369,"944 of 3139"
"Albemarle County, Virginia",51003,91.3,75154,"964 of 3139"
"Allamakee County, Iowa",19005,91.3,9469,"964 of 3139"
"Alpine County, California",06003,91.3,758,"964 of 3139"
"Bath County, Kentucky",21011,91.3,9318,"964 of 3139"
"Coos County, New Hampshire",33007,91.3,20112,"964 of 3139"
"Douglas County, Oregon",41019,91.3,72939,"964 of 3139"
"Drew County, Arkansas",05043,91.3,12843,"964 of 3139"
"Dubois County, Indiana",18037,91.3,31829,"964 of 3139"
"Fillmore County, Nebraska",31059,91.3,3727,"964 of 3139"
"Floyd County, Kentucky",21071,91.3,25843,"964 of 3139"
"Gosper County, Nebraska",31073,91.3,1359,"964 of 3139"
"Graves County, Kentucky",21083,91.3,27208,"964 of 3139"
"Greene County, Arkansas",05055,91.3,34279,"964 of 3139"
"Harrison County, Ohio",39067,91.3,10612,"964 of 3139"
"Iberville Parish, Louisiana",22047,91.3,21355,"964 of 3139"
"Iroquois County, Illinois",17075,91.3,19059,"964 of 3139"
"Kittitas County, Washington",53037,91.3,33988,"964 of 3139"
"Lawrence County, Kentucky",21127,91.3,11291,"964 of 3139"
"Marquette County, Wisconsin",55077,91.3,10505,"964 of 3139"
"McCreary County, Kentucky",21147,91.3,11460,"964 of 3139"
"Napa County, California",06055,91.3,98628,"964 of 3139"
"Ogemaw County, Michigan",26129,91.3,13908,"964 of 3139"
"Osceola County, Michigan",26133,91.3,16415,"964 of 3139"
"Pocahontas County, West Virginia",54075,91.3,5285,"964 of 3139"
"Pottawatomie County, Kansas",20149,91.3,18925,"964 of 3139"
"Richland County, Ohio",39139,91.3,82728,"964 of 3139"
"Shelby County, Alabama",01117,91.3,165710,"964 of 3139"
"Snyder County, Pennsylvania",42109,91.3,27292,"964 of 3139"
"Tehama County, California",06103,91.3,46690,"964 of 3139"
"Traverse County, Minnesota",27155,91.3,2186,"964 of 3139"
"Vermillion County, Indiana",18165,91.3,11185,"964 of 3139"
"Wallowa County, Oregon",41063,91.3,4531,"964 of 3139"
"Washington County, Kentucky",21229,91.3,8932,"964 of 3139"
"Whitley County, Indiana",18183,91.3,25094,"964 of 3139"
"Butler County, Kansas",20015,91.2,49791,"998 of 3139"
"Clay County, Indiana",18021,91.2,19346,"998 of 3139"
"Cleveland County, Arkansas",05025,91.2,5682,"998 of 3139"
"Dallas County, Arkansas",05039,91.2,4490,"998 of 3139"
"East Carroll Parish, Louisiana",22035,91.2,4250,"998 of 3139"
"Fayette County, Kentucky",21067,91.2,243591,"998 of 3139"
"Gage County, Nebraska",31067,91.2,15309,"998 of 3139"
"Grant County, New Mexico",35017,91.2,17134,"998 of 3139"
"Guernsey County, Ohio",39059,91.2,28016,"998 of 3139"
"Henrico County, Virginia",51087,91.2,251622,"998 of 3139"
"Hickman County, Kentucky",21105,91.2,2805,"998 of 3139"
"Huerfano County, Colorado",08055,91.2,4152,"998 of 3139"
"Knox County, Ohio",39083,91.2,43460,"998 of 3139"
"Lawrence County, Arkansas",05075,91.2,11491,"998 of 3139"
"Luce County, Michigan",26095,91.2,3460,"998 of 3139"
"Mathews County, Virginia",51115,91.2,5502,"998 of 3139"
"Meigs County, Ohio",39105,91.2,16435,"998 of 3139"
"Mercer County, West Virginia",54055,91.2,40472,"998 of 3139"
"Montgomery County, Ohio",39113,91.2,384354,"998 of 3139"
"Montgomery County, Virginia",51121,91.2,69276,"998 of 3139"
"Newaygo County, Michigan",26123,91.2,35291,"998 of 3139"
"Nicholas County, West Virginia",54067,91.2,17046,"998 of 3139"
"Orange County, California",06059,91.2,2435415,"998 of 3139"
"Park County, Colorado",08093,91.2,13373,"998 of 3139"
"Portsmouth City, Virginia",51740,91.2,69783,"998 of 3139"
"Shawnee County, Kansas",20177,91.2,127969,"998 of 3139"
"Southampton County, Virginia",51175,91.2,11408,"998 of 3139"
"Sullivan County, Pennsylvania",42113,91.2,3866,"998 of 3139"
"Surry County, Virginia",51181,91.2,4432,"998 of 3139"
"Wells County, Indiana",18179,91.2,20791,"998 of 3139"
"Ashland County, Wisconsin",55003,91.1,10765,"1028 of 3139"
"Barron County, Wisconsin",55005,91.1,31475,"1028 of 3139"
"Bell County, Kentucky",21013,91.1,18005,"1028 of 3139"
"Breckinridge County, Kentucky",21027,91.1,14650,"1028 of 3139"
"Carter County, Kentucky",21043,91.1,18999,"1028 of 3139"
"Clark County, Indiana",18019,91.1,89529,"1028 of 3139"
"Decatur County, Indiana",18031,91.1,19830,"1028 of 3139"
"Elmore County, Alabama",01051,91.1,59048,"1028 of 3139"
"Franklin County, Ohio",39049,91.1,1023054,"1028 of 3139"
"Grant County, West Virginia",54023,91.1,7839,"1028 of 3139"
"Grayson County, Kentucky",21085,91.1,18934,"1028 of 3139"
"Greenbrier County, West Virginia",54025,91.1,23689,"1028 of 3139"
"Hart County, Kentucky",21099,91.1,14129,"1028 of 3139"
"Huron County, Ohio",39077,91.1,43304,"1028 of 3139"
"Jefferson County, Montana",30043,91.1,8622,"1028 of 3139"
"Leelanau County, Michigan",26089,91.1,13469,"1028 of 3139"
"Louisa County, Iowa",19115,91.1,8023,"1028 of 3139"
"Marshall County, Kansas",20117,91.1,6819,"1028 of 3139"
"McKenzie County, North Dakota",38053,91.1,12557,"1028 of 3139"
"McPherson County, Kansas",20113,91.1,20342,"1028 of 3139"
"Monroe County, Wisconsin",55081,91.1,34104,"1028 of 3139"
"Montmorency County, Michigan",26119,91.1,5604,"1028 of 3139"
"Mora County, New Mexico",35033,91.1,2893,"1028 of 3139"
"Sagadahoc County, Maine",23023,91.1,25213,"1028 of 3139"
"San Diego County, California",06073,91.1,2521091,"1028 of 3139"
"Spencer County, Indiana",18147,91.1,14684,"1028 of 3139"
"Spotsylvania County, Virginia",51177,91.1,105572,"1028 of 3139"
"Sutter County, California",06101,91.1,73639,"1028 of 3139"
"Todd County, Minnesota",27153,91.1,17111,"1028 of 3139"
"Trumbull County, Ohio",39155,91.1,137650,"1028 of 3139"
"Wayne County, West Virginia",54099,91.1,27851,"1028 of 3139"
"Baker County, Oregon",41001,91.0,10278,"1059 of 3139"
"Billings County, North Dakota",38007,91.0,648,"1059 of 3139"
"Calhoun County, West Virginia",54013,91.0,4767,"1059 of 3139"
"Calloway County, Kentucky",21035,91.0,26376,"1059 of 3139"
"El Paso County, Colorado",08041,91.0,550862,"1059 of 3139"
"Franklin County, Kansas",20059,91.0,18857,"1059 of 3139"
"Henry County, Indiana",18065,91.0,32169,"1059 of 3139"
"Hopewell City, Virginia",51670,91.0,16907,"1059 of 3139"
"Iosco County, Michigan",26069,91.0,15722,"1059 of 3139"
"Kent County, Delaware",10001,91.0,131739,"1059 of 3139"
"Lewis County, Kentucky",21135,91.0,9651,"1059 of 3139"
"Logan County, West Virginia",54045,91.0,22277,"1059 of 3139"
"Monroe County, Ohio",39111,91.0,9370,"1059 of 3139"
"Perry County, Pennsylvania",42099,91.0,33752,"1059 of 3139"
"Philadelphia County, Pennsylvania",42101,91.0,1187278,"1059 of 3139"
"Phillips County, Arkansas",05107,91.0,12581,"1059 of 3139"
"Pike County, Kentucky",21195,91.0,41054,"1059 of 3139"
"Randolph County, West Virginia",54083,91.0,18405,"1059 of 3139"
"San Benito County, California",06069,91.0,49482,"1059 of 3139"
"Sandoval County, New Mexico",35043,91.0,109079,"1059 of 3139"
"Shawano County, Wisconsin",55115,91.0,28702,"1059 of 3139"
"Shelby County, Indiana",18145,91.0,33140,"1059 of 3139"
"St. Francis County, Arkansas",05123,91.0,14994,"1059 of 3139"
"St. John the Baptist Parish, Louisiana",22095,91.0,32721,"1059 of 3139"
"Stevens County, Washington",53065,91.0,31163,"1059 of 3139"
"Storey County, Nevada",32029,91.0,2554,"1059 of 3139"
"Warren County, Kentucky",21227,91.0,98494,"1059 of 3139"
"Waushara County, Wisconsin",55137,91.0,15504,"1059 of 3139"
"Wyoming County, West Virginia",54109,91.0,14323,"1059 of 3139"
"Adams County, Wisconsin",55001,90.9,11803,"1088 of 3139"
"Alexandria City, Virginia",51510,90.9,126213,"1088 of 3139"
"Athens County, Ohio",39009,90.9,42623,"1088 of 3139"
"Barbour County, West Virginia",54001,90.9,11081,"1088 of 3139"
"Catron County, New Mexico",35003,90.9,1807,"1088 of 3139"
"Cheboygan County, Michigan",26031,90.9,16182,"1088 of 3139"
"Chesterfield County, Virginia",51041,90.9,267426,"1088 of 3139"
"Clinton County, Kentucky",21053,90.9,7245,"1088 of 3139"
"Colonial Heights City, Virginia",51570,90.9,12506,"1088 of 3139"
"Coos County, Oregon",41011,90.9,41586,"1088 of 3139"
"Fairfax County, Virginia",51059,90.9,893743,"1088 of 3139"
"Fauquier County, Virginia",51061,90.9,53820,"1088 of 3139"
"Fluvanna County, Virginia",51065,90.9,18597,"1088 of 3139"
"Harrison County, Indiana",18061,90.9,29953,"1088 of 3139"
"Inyo County, California",06027,90.9,12366,"1088 of 3139"
"Jefferson County, Indiana",18077,90.9,22227,"1088 of 3139"
"Jefferson County, Iowa",19101,90.9,11386,"1088 of 3139"
"Lane County, Oregon",41039,90.9,269956,"1088 of 3139"
"Madison Parish, Louisiana",22065,90.9,7033,"1088 of 3139"
"McLean County, North Dakota",38055,90.9,6491,"1088 of 3139"
"Middlesex County, New Jersey",34023,90.9,618269,"1088 of 3139"
"Pend Oreille County, Washington",53051,90.9,8951,"1088 of 3139"
"Petroleum County, Montana",30069,90.9,328,"1088 of 3139"
"Powhatan County, Virginia",51145,90.9,20935,"1088 of 3139"
"Ritchie County, West Virginia",54085,90.9,6644,"1088 of 3139"
"Rusk County, Wisconsin",55107,90.9,9503,"1088 of 3139"
"Sherman County, Kansas",20181,90.9,4240,"1088 of 3139"
"Tipton County, Indiana",18159,90.9,10786,"1088 of 3139"
"Van Buren County, Michigan",26159,90.9,55306,"1088 of 3139"
"Webster County, Nebraska",31181,90.9,2361,"1088 of 3139"
"Whatcom County, Washington",53073,90.9,165902,"1088 of 3139"
"Bedford City and County, Virginia",51917,90.8,55914,"1119 of 3139"
"Antrim County, Michigan",26009,90.8,15118,"1120 of 3139"
"Arenac County, Michigan",26011,90.8,9874,"1120 of 3139"
"Baraga County, Michigan",26013,90.8,4933,"1120 of 3139"
"Burnett County, Wisconsin",55013,90.8,9702,"1120 of 3139"
"Cape May County, New Jersey",34009,90.8,59335,"1120 of 3139"
"Crittenden County, Arkansas",05035,90.8,35901,"1120 of 3139"
"DeKalb County, Indiana",18033,90.8,32712,"1120 of 3139"
"East Feliciana Parish, Louisiana",22037,90.8,12109,"1120 of 3139"
"Fayette County, West Virginia",54019,90.8,28569,"1120 of 3139"
"Fremont County, Colorado",08043,90.8,26459,"1120 of 3139"
"Gallatin County, Kentucky",21077,90.8,6855,"1120 of 3139"
"Giles County, Virginia",51071,90.8,11698,"1120 of 3139"
"Golden Valley County, North Dakota",38033,90.8,1132,"1120 of 3139"
"Hot Spring County, Arkansas",05059,90.8,22595,"1120 of 3139"
"Juneau County, Wisconsin",55057,90.8,17899,"1120 of 3139"
"Lake County, Michigan",26085,90.8,7269,"1120 of 3139"
"Lake County, Oregon",41037,90.8,4853,"1120 of 3139"
"Madison County, Alabama",01089,90.8,279588,"1120 of 3139"
"Missoula County, Montana",30063,90.8,88542,"1120 of 3139"
"Richland County, Wisconsin",55103,90.8,11756,"1120 of 3139"
"Scott County, Indiana",18143,90.8,17662,"1120 of 3139"
"Silver Bow County, Montana",30093,90.8,24798,"1120 of 3139"
"St. Tammany Parish, Louisiana",22103,90.8,194340,"1120 of 3139"
"Thayer County, Nebraska",31169,90.8,3340,"1120 of 3139"
"Tucker County, West Virginia",54093,90.8,4445,"1120 of 3139"
"Union County, Arkansas",05139,90.8,28232,"1120 of 3139"
"Vernon Parish, Louisiana",22115,90.8,35213,"1120 of 3139"
"Clay County, Kentucky",21051,90.7,13496,"1147 of 3139"
"Clay County, Missouri",29047,90.7,192933,"1147 of 3139"
"Daggett County, Utah",49009,90.7,625,"1147 of 3139"
"Fairfield County, Connecticut",09001,90.7,704697,"1147 of 3139"
"Faulkner County, Arkansas",05045,90.7,96013,"1147 of 3139"
"Fayette County, Illinois",17051,90.7,14190,"1147 of 3139"
"Franklin County, Indiana",18047,90.7,16706,"1147 of 3139"
"Garrard County, Kentucky",21079,90.7,12986,"1147 of 3139"
"Grafton County, New Hampshire",33009,90.7,58131,"1147 of 3139"
"Isabella County, Michigan",26073,90.7,50481,"1147 of 3139"
"Jefferson County, Kansas",20087,90.7,13902,"1147 of 3139"
"Jefferson County, Nebraska",31095,90.7,4775,"1147 of 3139"
"Kern County, California",06029,90.7,686486,"1147 of 3139"
"Lynchburg City, Virginia",51680,90.7,53841,"1147 of 3139"
"Montgomery County, Tennessee",47125,90.7,167705,"1147 of 3139"
"Morgan County, Ohio",39115,90.7,10171,"1147 of 3139"
"Presque Isle County, Michigan",26141,90.7,7616,"1147 of 3139"
"Siskiyou County, California",06093,90.7,28519,"1147 of 3139"
"Smyth County, Virginia",51173,90.7,20655,"1147 of 3139"
"Staunton City, Virginia",51790,90.7,17184,"1147 of 3139"
"Yamhill County, Oregon",41071,90.7,75653,"1147 of 3139"
"Autauga County, Alabama",01001,90.6,42323,"1168 of 3139"
"Bossier Parish, Louisiana",22015,90.6,96071,"1168 of 3139"
"Bourbon County, Kentucky",21017,90.6,14162,"1168 of 3139"
"Bristol City, Virginia",51520,90.6,11613,"1168 of 3139"
"Cache County, Utah",49005,90.6,100396,"1168 of 3139"
"Chicot County, Arkansas",05017,90.6,6503,"1168 of 3139"
"Clark County, Arkansas",05019,90.6,14152,"1168 of 3139"
"Edmonson County, Kentucky",21061,90.6,8582,"1168 of 3139"
"Ellsworth County, Kansas",20053,90.6,3539,"1168 of 3139"
"Fairfax City, Virginia",51600,90.6,18507,"1168 of 3139"
"Gladwin County, Michigan",26051,90.6,16536,"1168 of 3139"
"Gloucester County, Virginia",51073,90.6,27120,"1168 of 3139"
"Howard County, Nebraska",31093,90.6,4544,"1168 of 3139"
"Jackson County, Arkansas",05067,90.6,10361,"1168 of 3139"
"Kalkaska County, Michigan",26079,90.6,12795,"1168 of 3139"
"Kings County, California",06031,90.6,108053,"1168 of 3139"
"Knox County, Indiana",18083,90.6,25507,"1168 of 3139"
"Lake County, California",06033,90.6,43859,"1168 of 3139"
"Lee County, Arkansas",05077,90.6,4780,"1168 of 3139"
"Madison County, Idaho",16065,90.6,32656,"1168 of 3139"
"Martin County, Indiana",18101,90.6,7259,"1168 of 3139"
"Miller County, Arkansas",05091,90.6,31238,"1168 of 3139"
"Mississippi County, Arkansas",05093,90.6,30252,"1168 of 3139"
"Monroe County, Indiana",18105,90.6,103153,"1168 of 3139"
"Morgan County, Kentucky",21175,90.6,8146,"1168 of 3139"
"Ouachita Parish, Louisiana",22073,90.6,112707,"1168 of 3139"
"Pulaski County, Kentucky",21199,90.6,46946,"1168 of 3139"
"Shelby County, Kentucky",21211,90.6,36424,"1168 of 3139"
"Sullivan County, Indiana",18153,90.6,13265,"1168 of 3139"
"Utah County, Utah",49049,90.6,519721,"1168 of 3139"
"Vernon County, Wisconsin",55123,90.6,21999,"1168 of 3139"
"Ada County, Idaho",16001,90.5,366560,"1199 of 3139"
"Adams County, North Dakota",38001,90.5,1424,"1199 of 3139"
"Alleghany County and Clifton Forge City, Virginia",51005,90.5,9892,"1199 of 3139"
"Bienville Parish, Louisiana",22013,90.5,9220,"1199 of 3139"
"Buffalo County, Nebraska",31019,90.5,36467,"1199 of 3139"
"Carlisle County, Kentucky",21039,90.5,3351,"1199 of 3139"
"Caroline County, Virginia",51033,90.5,22594,"1199 of 3139"
"Cedar County, Nebraska",31027,90.5,5885,"1199 of 3139"
"Clarke County, Virginia",51043,90.5,10295,"1199 of 3139"
"Custer County, Montana",30017,90.5,7933,"1199 of 3139"
"Fountain County, Indiana",18045,90.5,11700,"1199 of 3139"
"Frederick County, Virginia",51069,90.5,65558,"1199 of 3139"
"Green Lake County, Wisconsin",55047,90.5,12999,"1199 of 3139"
"Henry County, Kentucky",21103,90.5,11881,"1199 of 3139"
"Humboldt County, California",06023,90.5,96479,"1199 of 3139"
"Lafayette Parish, Louisiana",22055,90.5,186421,"1199 of 3139"
"Lewis County, Washington",53041,90.5,56325,"1199 of 3139"
"Lincoln County, Kentucky",21137,90.5,17732,"1199 of 3139"
"Morehouse Parish, Louisiana",22067,90.5,17468,"1199 of 3139"
"Nance County, Nebraska",31125,90.5,2441,"1199 of 3139"
"Newport News City, Virginia",51700,90.5,132496,"1199 of 3139"
"Otoe County, Nebraska",31131,90.5,11533,"1199 of 3139"
