Incidence Rate Report for United States by HSA

"Melanoma of the Skin (All Stages^), 2014-2018"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Health Service Area, HSA_Code,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Pima (Tucson), AZ - Cochise, AZ(7)",0700,***,30 ,28.8, 31.3,N/A , 1 , 1,487,rising,9.1 ,6.9, 11.3
"Cattaraugus, NY - Allegany, NY(7)",0035,***,30 ,26, 34.4,N/A , 1 , 8,46,rising,11.7 ,2.7, 21.5
"Thurston (Olympia), WA - Grays Harbor, WA(7)",0758,***,30 ,27.8, 32.3,N/A , 1 , 4,153,rising,2.4 ,1.8, 3.0
"Manatee, FL(7)",0266,***,29.9 ,27.8, 32.2,N/A , 4 , 11,181,rising,4.4 ,2.6, 6.2
"Douglas, WI(7)",0907,***,29.9 ,23.6, 37.6,N/A , 1 , 19,16,rising,10.9 ,6.6, 15.3
"Bartholomew, IN - Jackson, IN(7)",0313,***,29.9 ,26.6, 33.5,N/A , 1 , 10,61,stable,0.9 ,-1.0, 2.8
"Carroll, KY - Trimble, KY(7)",0914,***,29.7 ,20, 42.4,N/A , 1 , 30,6,rising,2.9 ,0.2, 5.6
"Virginia Beach City, VA - Norfolk City, VA(7)",0853,***,29.7 ,28.3, 31.1,N/A , 2 , 6,368,rising,3.4 ,1.9, 4.9
"Sullivan (Kingsport), TN - Hawkins, TN(7)",0151,***,29.6 ,26.8, 32.8,N/A , 1 , 6,87,falling,-5.1 ,-7.8, -2.4
"Uinta, WY(7)",0792,***,29.6 ,20, 42.3,N/A , 1 , 10,7,stable,2.9 ,-3.4, 9.8
"Stephens, OK - Jefferson, OK(7)",0497,***,29.6 ,23.7, 36.5,N/A , 1 , 13,19,stable,4.0 ,-0.1, 8.1
"Lancaster, PA(7)",0140,***,29.5 ,27.6, 31.5,N/A , 1 , 6,195,rising,2.9 ,1.4, 4.5
"Kenton (Covington), KY - Campbell, KY(7)",0002,***,29.5 ,27.3, 31.9,N/A , 4 , 19,136,rising,3.4 ,2.6, 4.2
"Hawaii, HI(7)",0823,***,29.5 ,26.5, 32.7,N/A , 1 , 2,81,stable,1.2 ,-0.3, 2.7
"Logan, OH(7)",0398,***,29.4 ,23.1, 37,N/A , 1 , 26,16,rising,4.2 ,0.3, 8.4
"Escambia (Pensacola), FL - Okaloosa, FL(7)",0892,***,29.4 ,27.8, 31.1,N/A , 4 , 11,261,stable,-2.0 ,-9.0, 5.5
"Grand, UT(7)",0965,***,29.4 ,16.9, 48.1,N/A , 3 , 8,4,*,*,*,*
"Spalding (Griffin), GA - Butts, GA(7)",0204,***,29.3 ,24.8, 34.5,N/A , 4 , 19,31,rising,3.6 ,1.9, 5.4
"York, ME(7)",0098,***,29.3 ,26.5, 32.5,N/A , 1 , 3,83,stable,0.6 ,-0.5, 1.7
"Warren, KY - Logan, KY(7)",0029,***,29.3 ,26.2, 32.7,N/A , 3 , 21,68,rising,2.8 ,1.6, 4.0
"Des Moines, IA - Henry, IA(7)",0917,***,29.2 ,23.7, 35.6,N/A , 6 , 29,22,rising,3.5 ,2.4, 4.7
"Jefferson (Louisville), KY - Bullitt, KY(7)",0272,***,29.2 ,27.8, 30.6,N/A , 5 , 18,358,rising,2.2 ,1.6, 2.9
"St. Tammany (Slidell), LA - Washington, LA(7)",0500,***,29.1 ,26.6, 31.9,N/A , 1 , 2,102,rising,3.7 ,2.5, 4.9
"Marion, IL - Washington, IL(7)",0358,***,29.1 ,23.3, 36,N/A , 1 , 29,19,stable,1.4 ,-1.3, 4.1
"Hillsborough (Tampa), FL - Pinellas, FL(7)",0227,***,28.9 ,28.2, 29.7,N/A , 6 , 10,1159,rising,3.2 ,2.5, 3.9
"Linn (Cedar Rapids), IA - Johnson, IA(7)",0545,***,28.9 ,26.8, 31.1,N/A , 9 , 23,149,rising,4.3 ,2.6, 6.0
"Asotin, WA - Garfield, WA(7)",0961,***,28.9 ,21, 38.9,N/A , 1 , 8,10,stable,4.5 ,-0.3, 9.5
"Knox (Knoxville), TN - Blount, TN(7)",0147,***,28.8 ,27.4, 30.4,N/A , 1 , 6,308,stable,0.2 ,-1.8, 2.3
"Peoria (Peoria), IL - Tazewell, IL(7)",0277,***,28.8 ,26.5, 31.2,N/A , 4 , 19,131,rising,10.2 ,2.2, 18.9
"Black Hawk (Waterloo), IA - Bremer, IA(7)",0557,***,28.8 ,25.8, 32,N/A , 8 , 25,73,rising,2.5 ,2.1, 3.0
"Broome (Binghamton), NY - Tioga, NY(7)",0019,***,28.7 ,26, 31.7,N/A , 1 , 8,89,rising,3.7 ,2.5, 5.0
"Buncombe (Asheville), NC - Henderson, NC(7)",0225,***,28.7 ,26.9, 30.7,N/A , 7 , 20,199,rising,1.7 ,0.3, 3.0
"Erie (Buffalo), NY - Monroe, NY(7)",0054,***,28.7 ,27.7, 29.7,N/A , 1 , 6,735,rising,2.8 ,0.6, 5.0
"Ontario (Geneva), NY - Wayne, NY(7)",0021,***,28.7 ,26, 31.6,N/A , 1 , 8,94,stable,1.0 ,-2.1, 4.3
"Barren, KY - Hart, KY(7)",0053,***,28.7 ,23.9, 34.1,N/A , 2 , 26,27,rising,2.5 ,0.1, 5.0
"Sacramento (Sacramento), CA - Placer, CA(7)",0709,***,28.6 ,27.7, 29.6,N/A , 9 , 14,739,stable,-4.3 ,-11.5, 3.4
"Effingham, IL - Fayette, IL(7)",0363,***,28.6 ,23, 35.2,N/A , 1 , 30,19,rising,3.9 ,1.0, 7.0
"Guilford (Greensboro), NC - Davidson, NC(7)",0186,***,28.6 ,27.2, 30.1,N/A , 8 , 19,312,stable,-0.5 ,-2.8, 1.9
"Madison, KY - Rockcastle, KY(7)",0062,***,28.6 ,24.7, 33,N/A , 3 , 24,40,rising,1.9 ,0.6, 3.3
"Hancock, IN - Henry (New Castle), IN(7)",0362,***,28.6 ,24.8, 32.8,N/A , 1 , 14,43,rising,3.2 ,1.2, 5.2
"Coos, NH(7)",0138,***,28.6 ,21.6, 37.3,N/A , 3 , 6,14,stable,-0.1 ,-2.7, 2.7
"Huntington, IN - Adams, IN(7)",0332,***,28.5 ,24.5, 32.9,N/A , 1 , 14,40,rising,4.2 ,1.1, 7.4
"Barron, WI - Rusk, WI(7)",0374,***,28.5 ,22.9, 35,N/A , 1 , 20,21,rising,6.9 ,3.4, 10.4
"Holt, NE - Brown, NE(7)",0559,***,28.4 ,17.8, 43.2,N/A , 1 , 22,6,rising,5.7 ,1.0, 10.8
"Montgomery, KY - Bath, KY(7)",0131,***,28.3 ,21.8, 36.3,N/A , 1 , 29,13,stable,0.9 ,-1.2, 3.1
"Clark (Springfield), OH - Champaign, OH(7)",0346,***,28.3 ,25, 31.9,N/A , 1 , 18,59,rising,3.6 ,2.0, 5.2
"Frederick, MD(7)",0048,***,28.3 ,25.5, 31.3,N/A , 4 , 7,80,stable,0.7 ,-1.1, 2.5
"Fayette (Lexington-Fayette), KY - Jessamine, KY(7)",0018,***,28.3 ,26.4, 30.2,N/A , 6 , 21,176,rising,1.2 ,0.4, 1.9
"Palm Beach (West Palm Beach), FL - St. Lucie, FL(7)",0221,***,28.2 ,27.4, 29.2,N/A , 7 , 11,864,stable,3.9 ,-0.1, 8.0
