Incidence Rate Report for United States by HSA

"Melanoma of the Skin (All Stages^), 2014-2018"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Health Service Area, HSA_Code,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Bourbon (Paris), KY - Nicholas, KY(7)",0102,***,23.5 ,16.7, 32.3,N/A , 3 , 30,8,stable,-1.3 ,-4.0, 1.5
"Del Norte, CA(7)",0738,***,23.5 ,16.7, 32.3,N/A , 7 , 28,8,stable,0.3 ,-3.5, 4.1
"Middlesex, MA - Suffolk (Boston), MA(7)",0022,***,23.4 ,22.8, 24.1,N/A , 1 , 3,1057,stable,-0.2 ,-1.5, 1.1
"Bay (Bay City), MI - Iosco, MI(7)",0342,***,23.4 ,20.5, 26.6,N/A , 2 , 16,56,rising,3.3 ,1.2, 5.4
"East Baton Rouge (Baton Rouge), LA - Livingston, LA(7)",0419,***,23.4 ,21.9, 24.9,N/A , 2 , 5,201,rising,4.0 ,3.0, 5.1
"Washington, OH(7)",0034,***,23.3 ,18.6, 29,N/A , 2 , 28,19,stable,0.8 ,-2.2, 3.9
"Hardin, KY - Meade, KY(7)",0089,***,23.3 ,20.5, 26.4,N/A , 15 , 29,51,rising,1.7 ,0.1, 3.4
"Burleigh (Bismarck), ND - Morton, ND(7)",0543,***,23.3 ,20.2, 26.8,N/A , 2 , 5,43,stable,0.0 ,-6.9, 7.5
"Marinette, WI - Florence, WI(7)",0912,***,23.3 ,18.1, 29.6,N/A , 2 , 24,16,rising,3.8 ,0.3, 7.5
"Oklahoma (Oklahoma City), OK - Canadian, OK(7)",0417,***,23.2 ,21.9, 24.5,N/A , 5 , 15,259,stable,1.9 ,0.0, 3.8
"Knox, IN - Daviess, IN(7)",0910,***,23.2 ,19.1, 27.8,N/A , 4 , 26,25,stable,1.5 ,-0.5, 3.5
"Madison (Alton), IL - Jersey, IL(7)",0299,***,23.1 ,20.9, 25.5,N/A , 15 , 31,86,rising,3.4 ,1.7, 5.2
"Alachua (Gainesville), FL - Columbia, FL(7)",0159,***,23.1 ,21.4, 25,N/A , 12 , 14,139,stable,-11.0 ,-24.6, 4.9
"Kootenai, ID - Bonner, ID(7)",0734,***,23 ,20.5, 25.7,N/A , 6 , 11,69,stable,-1.6 ,-3.6, 0.5
"Orange (Orlando), FL - Volusia, FL(7)",0142,***,23 ,22.3, 23.7,N/A , 12 , 14,855,stable,-4.2 ,-9.0, 0.7
"Cedar, NE - Knox, NE(7)",0578,***,22.8 ,14.8, 34.2,N/A , 2 , 22,6,rising,5.5 ,0.7, 10.5
"Richland (Mansfield), OH - Ashland, OH(7)",0369,***,22.8 ,19.9, 26,N/A , 7 , 28,49,rising,3.4 ,1.3, 5.5
"Kane (Aurora), IL - DeKalb, IL(7)",0373,***,22.8 ,21.3, 24.4,N/A , 18 , 31,175,rising,3.4 ,2.0, 4.8
"Harlan, KY - Bell, KY(7)",0096,***,22.8 ,17.8, 28.8,N/A , 7 , 30,15,stable,1.6 ,-0.9, 4.1
"Horry, SC - Georgetown, SC(7)",0246,***,22.8 ,20.9, 24.8,N/A , 3 , 7,129,stable,-1.4 ,-3.6, 0.8
"Henrico (Richmond), VA - Chesterfield, VA(7)",0033,***,22.8 ,21.7, 23.9,N/A , 6 , 10,336,rising,1.4 ,0.1, 2.7
"Mecklenburg (Charlotte), NC - Union, NC(7)",0167,***,22.7 ,21.5, 24,N/A , 20 , 26,283,rising,3.1 ,1.5, 4.6
"Carbon, UT - Emery, UT(7)",0809,***,22.7 ,15.8, 31.7,N/A , 7 , 8,8,stable,1.2 ,-0.7, 3.1
"Ohio (Wheeling), WV - Marshall, WV(7)",0860,***,22.7 ,19.1, 26.9,N/A , 1 , 14,31,rising,3.3 ,0.5, 6.2
"Letcher, KY(7)",0123,***,22.7 ,15.2, 32.8,N/A , 3 , 30,6,stable,0.4 ,-2.1, 2.9
"Albemarle, VA - Charlottesville City, VA(7)",0099,***,22.7 ,20.7, 24.8,N/A , 6 , 11,104,stable,-0.3 ,-1.9, 1.4
"Logan, WV - Mingo, WV(7)",0856,***,22.7 ,17.8, 28.6,N/A , 1 , 15,16,stable,2.0 ,-1.6, 5.8
"Luzerne (Wilkes-Barre), PA - Columbia, PA(7)",0078,***,22.7 ,20.9, 24.7,N/A , 7 , 21,123,rising,2.0 ,1.2, 2.9
"Clark, IL(7)",0311,***,22.7 ,14.2, 34.7,N/A , 1 , 33,5,stable,0.9 ,-3.3, 5.3
"Venango, PA - Clarion, PA(7)",0052,***,22.6 ,18.9, 26.9,N/A , 4 , 25,29,stable,0.5 ,-1.2, 2.2
"Essex (Lynn), MA(7)",0074,***,22.6 ,21.2, 24,N/A , 1 , 4,217,stable,0.1 ,-1.3, 1.6
"Raleigh, WV - Fayette, WV(7)",0060,***,22.6 ,19.6, 25.9,N/A , 1 , 13,46,rising,8.8 ,3.3, 14.7
"Baxter, AR - Marion, AR(7)",0407,***,22.6 ,18.3, 27.7,N/A , 1 , 14,24,stable,0.0 ,-2.8, 2.8
"Tulsa (Tulsa), OK - Rogers, OK(7)",0414,***,22.6 ,21.2, 24,N/A , 6 , 16,223,stable,-1.9 ,-13.7, 11.5
"Cuyahoga (Cleveland), OH - Lake, OH(7)",0288,***,22.6 ,21.6, 23.5,N/A , 15 , 27,476,rising,8.0 ,3.6, 12.6
"Pontotoc, MS - Union, MS(7)",0482,***,22.5 ,18.2, 27.5,N/A , 1 , 15,20,*,*,*,*
"Pennington (Rapid City), SD - Meade, SD(7)",0558,***,22.5 ,19.4, 25.9,N/A , 6 , 12,44,stable,1.7 ,-1.0, 4.4
"Bay (Panama City), FL - Jackson, FL(7)",0155,***,22.5 ,20.3, 24.8,N/A , 12 , 14,85,rising,16.9 ,2.4, 33.6
"Independence, AR - Sharp, AR(7)",0574,***,22.4 ,18.8, 26.7,N/A , 1 , 14,30,rising,2.9 ,0.7, 5.2
"Payne, OK - Pawnee, OK(7)",0472,***,22.4 ,18.4, 27,N/A , 3 , 20,24,stable,1.2 ,-2.2, 4.8
"OBrien, IA - Osceola, IA(7)",0652,***,22.4 ,14.9, 32.7,N/A , 8 , 33,6,rising,4.6 ,2.7, 6.4
"Richmond (South Augusta), GA - Columbia, GA(7)",0830,***,22.4 ,20.4, 24.5,N/A , 13 , 29,98,rising,3.8 ,2.5, 5.1
"Worcester (Worcester), MA - Franklin, MA(7)",0101,***,22.4 ,21.1, 23.7,N/A , 1 , 4,237,rising,2.9 ,1.8, 4.0
"Marathon (Wausau), WI - Wood, WI(7)",0282,***,22.4 ,20.1, 24.8,N/A , 10 , 22,80,stable,-3.9 ,-10.5, 3.1
"Macoupin, IL - Montgomery, IL(7)",0334,***,22.3 ,18.2, 27.2,N/A , 9 , 33,22,stable,0.0 ,-2.2, 2.3
"St. Clair (Belleville), IL - Clinton, IL(7)",0325,***,22.3 ,20.3, 24.5,N/A , 18 , 32,95,rising,4.4 ,2.7, 6.2
"Custer, OK - Washita, OK(7)",0475,***,22.3 ,16.3, 29.8,N/A , 1 , 22,10,stable,0.0 ,-3.2, 3.4
"Albany (Albany), NY - Rensselaer, NY(7)",0010,***,22.3 ,20.5, 24.2,N/A , 8 , 16,123,rising,3.9 ,2.6, 5.2
"Mesa, CO - Garfield, CO(7)",0711,***,22.3 ,20, 24.8,N/A , 4 , 10,75,stable,-1.3 ,-2.5, 0.0
"Morgan, GA - Greene, GA(7)",0164,***,22.3 ,17.1, 29,N/A , 8 , 40,13,stable,-11.9 ,-23.3, 1.2
"Mahoning (Youngstown), OH - Trumbull, OH(7)",0345,***,22.3 ,20.5, 24.2,N/A , 13 , 27,130,stable,-4.1 ,-16.8, 10.6
"Lee, IA(7)",0982,***,22.2 ,16, 30.1,N/A , 10 , 33,9,rising,2.7 ,0.8, 4.7
"Providence (Providence), RI - Kent, RI(7)",0859,***,22.2 ,21, 23.5,N/A , N/A , N/A,262,falling,-7.4 ,-13.7, -0.7
"Alleghany Cnty & Clifton Forge Cty, VA - Covington City, VA(7)",0030,***,22.2 ,16, 30.5,N/A , 3 , 15,9,stable,3.6 ,-1.2, 8.6
"Fremont, WY - Washakie, WY(7)",0777,***,22.1 ,16.9, 28.5,N/A , 3 , 11,14,stable,1.5 ,-2.0, 5.2
"Crawford, IA(7)",0681,***,22.1 ,13.9, 33.6,N/A , 7 , 33,5,*,*,*,*
"Washington, OK - Nowata, OK(7)",0933,***,22.1 ,17.5, 27.5,N/A , 2 , 21,18,stable,1.3 ,-1.5, 4.3
"Jackson, OH - Gallia, OH(7)",0283,***,22.1 ,18.1, 26.7,N/A , 5 , 28,23,rising,2.6 ,0.1, 5.3
"Bryan, OK - Atoka, OK(7)",0436,***,22.1 ,17.4, 27.7,N/A , 2 , 21,16,rising,5.1 ,1.3, 9.0
"St. Croix, WI - Pierce, WI(7)",0923,***,22.1 ,18.7, 25.9,N/A , 6 , 23,32,rising,7.4 ,4.9, 10.0
"Philadelphia (Philadelphia), PA - Montgomery, PA(7)",0028,***,22.1 ,21.5, 22.7,N/A , 13 , 20,1057,stable,-7.0 ,-14.2, 0.9
"Clark (Jeffersonville), IN - Scott, IN(7)",0365,***,22 ,18.8, 25.6,N/A , 7 , 26,36,stable,2.2 ,-0.4, 5.0
"Floyd, GA - Bartow, GA(7)",0154,***,22 ,19.8, 24.3,N/A , 14 , 31,80,stable,1.4 ,-0.1, 2.9
"Crawford, PA(7)",0117,***,22 ,18, 26.5,N/A , 4 , 26,24,stable,1.1 ,-2.2, 4.6
"Clinton, NY - Franklin, NY(7)",0081,***,21.9 ,19.1, 25,N/A , 6 , 18,48,rising,1.9 ,0.4, 3.5
"Franklin (Columbus), OH - Delaware, OH(7)",0281,***,21.9 ,20.9, 23,N/A , 17 , 27,353,stable,0.1 ,-1.3, 1.5
"Lewis, KY(7)",0337,***,21.9 ,12.7, 35.5,N/A , 2 , 30,4,*,*,*,*
"Columbiana, OH(7)",0380,***,21.9 ,18.4, 25.9,N/A , 8 , 28,30,stable,1.2 ,-1.7, 4.2
"Jefferson (Steubenville), OH - Harrison, OH(7)",0360,***,21.8 ,17.7, 26.7,N/A , 5 , 28,23,rising,4.8 ,2.3, 7.3
"Montgomery (Montgomery), AL - Autauga, AL(7)",0171,***,21.8 ,19.8, 23.9,N/A , 6 , 12,95,rising,3.2 ,1.5, 5.0
"Elkhart (Elkhart), IN - Kosciusko, IN(7)",0349,***,21.8 ,19.5, 24.3,N/A , 8 , 24,68,rising,2.0 ,0.1, 3.8
"Pontotoc, OK - Seminole, OK(7)",0478,***,21.8 ,17.7, 26.5,N/A , 3 , 21,21,rising,3.0 ,0.7, 5.3
"Denver (Denver), CO - Jefferson, CO(7)",0688,***,21.8 ,21, 22.6,N/A , 5 , 9,634,stable,0.7 ,0.0, 1.4
"Sumner (Hendersonville), TN - Wilson, TN(7)",0231,***,21.8 ,19.7, 23.9,N/A , 6 , 16,89,stable,1.5 ,-0.5, 3.6
"Monongalia, WV - Marion, WV(7)",0031,***,21.7 ,19.1, 24.7,N/A , 2 , 14,51,rising,3.1 ,0.6, 5.6
"Delaware (Muncie), IN - Randolph, IN(7)",0323,***,21.7 ,18.6, 25.2,N/A , 8 , 26,39,stable,1.7 ,-0.8, 4.3
"Lafayette, MS - Calhoun, MS(7)",0459,***,21.7 ,17.3, 26.9,N/A , 1 , 17,18,*,*,*,*
"Yankton, SD - Clay, SD(7)",0947,***,21.7 ,16.4, 28.2,N/A , 5 , 12,12,rising,7.0 ,2.4, 11.8
"St. Louis, MO - St. Louis City, MO(7)",0541,***,21.7 ,20.8, 22.6,N/A , 3 , 8,449,stable,0.6 ,-0.3, 1.6
"Jones, MS - Wayne, MS(7)",0455,***,21.7 ,18.3, 25.5,N/A , 1 , 15,31,*,*,*,*
"Jackson, OK - Greer, OK(7)",0483,***,21.6 ,15.3, 29.7,N/A , 1 , 22,8,stable,2.6 ,-1.1, 6.4
"Jackson, WI(7)",0399,***,21.6 ,14.5, 31.4,N/A , 1 , 25,6,stable,4.3 ,-0.9, 9.9
"Bradford, PA - Susquehanna, PA(7)",0858,***,21.6 ,18.2, 25.5,N/A , 5 , 26,33,stable,2.2 ,-0.2, 4.6
"Routt, CO - Moffat, CO(7)",0735,***,21.6 ,15.4, 29.5,N/A , 2 , 14,9,stable,-2.5 ,-5.5, 0.5
"Anderson (Oak Ridge), TN - Roane, TN(7)",0226,***,21.6 ,19.2, 24.2,N/A , 6 , 17,66,stable,-0.7 ,-3.5, 2.2
"Marion, OH - Crawford, OH(7)",0354,***,21.5 ,19, 24.3,N/A , 13 , 28,55,falling,-5.2 ,-9.2, -0.9
"Fairfield, CT(7)",0121,***,21.4 ,20.2, 22.7,N/A , 1 , 2,243,falling,-1.9 ,-3.3, -0.6
"Berkshire (Pittsfield), MA(7)",0112,***,21.4 ,18.2, 25,N/A , 1 , 4,38,stable,-1.3 ,-3.5, 0.9
"Muscogee (Columbus), GA - Harris, GA(7)",0893,***,21.4 ,19, 24,N/A , 14 , 34,60,rising,3.9 ,2.0, 5.8
"Christian (Hopkinsville), KY - Hopkins, KY(7)",0045,***,21.4 ,18.7, 24.3,N/A , 18 , 30,49,rising,2.7 ,0.9, 4.5
"Howard (Kokomo), IN - Cass, IN(7)",0364,***,21.4 ,18.3, 24.8,N/A , 7 , 26,37,rising,2.2 ,0.4, 4.1
"Otoe, NE - Johnson, NE(7)",0660,***,21.3 ,14.2, 31.1,N/A , 3 , 22,6,*,*,*,*
"Wood (Parkersburg), WV - Jackson, WV(7)",0863,***,21.3 ,18.5, 24.6,N/A , 2 , 14,44,stable,0.2 ,-1.9, 2.4
"Beckham, OK - Roger Mills, OK(7)",0440,***,21.3 ,14.2, 30.7,N/A , 1 , 22,6,stable,-0.7 ,-4.6, 3.2
"Beaufort, SC - Jasper, SC(7)",0886,***,21.3 ,18.9, 23.9,N/A , 3 , 8,70,falling,-10.5 ,-14.7, -6.0
"York, NE - Polk, NE(7)",0611,***,21.3 ,13.7, 31.9,N/A , 3 , 22,5,*,*,*,*
"Honolulu (Honolulu), HI - Maui, HI(7)",0821,***,21.3 ,20.2, 22.4,N/A , 3 , 3,296,rising,1.9 ,0.8, 3.0
"Arkansas, AR - Monroe, AR(7)",0527,***,21.3 ,14.7, 30,N/A , 1 , 20,7,rising,7.5 ,1.9, 13.4
"Crawford, WI(7)",0919,***,21.3 ,13.2, 32.9,N/A , 1 , 25,5,*,*,*,*
"Tippecanoe (Lafayette), IN - Clinton, IN(7)",0300,***,21.2 ,18.8, 23.9,N/A , 9 , 25,59,stable,1.4 ,-0.4, 3.3
"Mercer, WV - McDowell, WV(7)",0866,***,21.2 ,17.2, 25.9,N/A , 1 , 15,22,stable,1.4 ,-0.1, 2.9
"Okmulgee, OK - Okfuskee, OK(7)",0529,***,21.2 ,16.2, 27.3,N/A , 3 , 22,13,rising,4.0 ,0.4, 7.7
"San Bernardino, CA - Riverside (Riverside), CA(7)",0768,***,21.2 ,20.6, 21.8,N/A , 19 , 24,962,rising,0.6 ,0.1, 1.2
"Escambia, AL - Conecuh, AL(7)",0163,***,21.2 ,16.3, 27.1,N/A , 3 , 16,14,stable,3.6 ,0.0, 7.3
"Will (Joliet), IL - Grundy, IL(7)",0303,***,21.2 ,19.7, 22.7,N/A , 22 , 32,163,rising,3.3 ,2.3, 4.3
"Monroe, MI(7)",0276,***,21.1 ,18.1, 24.5,N/A , 3 , 23,39,stable,2.1 ,-0.7, 4.9
"Milwaukee (Milwaukee), WI - Waukesha, WI(7)",0280,***,21.1 ,20.2, 22.1,N/A , 15 , 22,378,rising,2.0 ,1.4, 2.7
"Alpena, MI - Presque Isle, MI(7)",0371,***,21.1 ,16.9, 26.2,N/A , 2 , 24,22,stable,-1.0 ,-4.7, 2.8
"Dakota, NE - Thurston, NE(7)",0942,***,21.1 ,14.5, 29.5,N/A , 5 , 22,7,stable,1.6 ,-1.9, 5.3
"Muskegon (Muskegon), MI - Newaygo, MI(7)",0296,***,21 ,18.8, 23.5,N/A , 5 , 21,71,stable,1.3 ,-0.3, 2.9
"San Joaquin (Stockton), CA - Calaveras, CA(7)",0750,***,21 ,19.7, 22.5,N/A , 19 , 25,184,rising,2.8 ,1.8, 3.9
"Allegany (Cumberland), MD - Garrett, MD(7)",0001,***,21 ,17.5, 24.9,N/A , 8 , 8,29,stable,2.5 ,-0.3, 5.4
"Stanislaus (Modesto), CA - Merced, CA(7)",0737,***,20.9 ,19.6, 22.3,N/A , 19 , 25,189,rising,1.6 ,0.5, 2.6
"Monroe (Bloomington), IN - Greene, IN(7)",0341,***,20.9 ,18.3, 23.8,N/A , 9 , 26,50,falling,-12.3 ,-20.0, -3.9
"Cole, MO - Callaway, MO(7)",0581,***,20.8 ,18.3, 23.6,N/A , 2 , 12,54,rising,4.0 ,1.7, 6.4
"Mercer, NJ(7)",0126,***,20.8 ,18.9, 22.9,N/A , 6 , 6,88,stable,0.5 ,-0.7, 1.7
"Elk, PA(7)",0125,***,20.8 ,14.6, 29,N/A , 2 , 26,8,rising,6.3 ,3.9, 8.6
"Berkeley, WV - Jefferson, WV(7)",0861,***,20.8 ,18.2, 23.6,N/A , 3 , 14,51,stable,1.4 ,-0.6, 3.5
"Lauderdale, MS - Neshoba, MS(7)",0926,***,20.8 ,17.8, 24.1,N/A , 1 , 15,37,*,*,*,*
"Onondaga (Syracuse), NY - Oswego, NY(7)",0056,***,20.8 ,19.3, 22.3,N/A , 11 , 18,162,rising,2.9 ,1.6, 4.3
"Camden, MO(7)",0685,***,20.7 ,16, 26.7,N/A , 2 , 18,16,stable,2.0 ,-2.1, 6.2
"Missoula, MT - Ravalli, MT(7)",0713,***,20.7 ,18.2, 23.6,N/A , 6 , 11,54,falling,-7.6 ,-12.8, -2.1
"Lancaster, SC - Kershaw, SC(7)",0249,***,20.7 ,17.9, 23.9,N/A , 3 , 8,41,stable,0.9 ,-0.8, 2.7
"Coweta, GA - Troup (La Grange), GA(7)",0894,***,20.7 ,18.3, 23.3,N/A , 15 , 36,56,stable,1.0 ,-0.5, 2.5
"Henderson (Henderson), KY - Union, KY(7)",0040,***,20.6 ,16, 26.2,N/A , 14 , 30,15,stable,-0.2 ,-2.5, 2.2
"Weld, CO - Morgan, CO(7)",0760,***,20.6 ,18.5, 22.9,N/A , 5 , 11,71,stable,1.8 ,-0.4, 4.0
"Grady, OK - Caddo, OK(7)",0476,***,20.6 ,16.8, 25.1,N/A , 4 , 22,21,stable,2.6 ,-0.5, 5.7
"York (Rock Hill), SC - Chester, SC(7)",0244,***,20.6 ,18.4, 23,N/A , 4 , 8,66,stable,0.5 ,-1.8, 2.8
"Putnam, TN - White, TN(7)",0215,***,20.6 ,17.7, 23.9,N/A , 6 , 21,39,stable,0.9 ,-2.4, 4.3
"Erath, TX - Comanche, TX(7)",0507,***,20.6 ,15.6, 26.6,N/A , 1 , 29,13,stable,1.3 ,-2.5, 5.3
"Caswell, NC(7)",0132,***,20.5 ,13.7, 29.9,N/A , 6 , 32,6,stable,-15.5 ,-38.0, 15.2
"Durham (Durham), NC - Granville, NC(7)",0170,***,20.5 ,18.8, 22.4,N/A , 22 , 27,108,rising,2.9 ,1.6, 4.2
"Weakley, TN - Obion, TN(7)",0897,***,20.5 ,16.1, 25.8,N/A , 4 , 24,16,rising,4.9 ,2.0, 8.0
"Lawrence, IN - Orange, IN(7)",0329,***,20.4 ,16.2, 25.5,N/A , 7 , 28,18,falling,-8.7 ,-16.0, -0.7
"Natrona (Casper), WY - Converse, WY(7)",0726,***,20.4 ,16.7, 24.7,N/A , 5 , 11,23,stable,0.5 ,-2.5, 3.7
"Bernalillo (Albuquerque), NM - Sandoval, NM(7)",0693,***,20.3 ,19.1, 21.6,N/A , 1 , 3,231,stable,0.8 ,0.0, 1.6
"Richland, MT - Dawson, MT(7)",0767,***,20.3 ,13.2, 29.9,N/A , 5 , 12,6,rising,16.4 ,5.6, 28.3
"Craighead, AR - Greene, AR(7)",0571,***,20.3 ,17.8, 23,N/A , 5 , 15,50,rising,3.6 ,1.6, 5.7
"Berks, PA(7)",0139,***,20.2 ,18.5, 22.1,N/A , 14 , 25,103,stable,-0.4 ,-1.7, 1.0
"Jackson (Pascagoula), MS - George, MS(7)",0471,***,20.2 ,17.3, 23.4,N/A , 2 , 16,37,*,*,*,*
"Fulton, NY - Montgomery (Amsterdam), NY(7)",0076,***,20.2 ,16.7, 24.2,N/A , 7 , 20,26,rising,2.1 ,0.3, 3.9
"Laurens, GA - Toombs, GA(7)",0206,***,20.1 ,17.1, 23.4,N/A , 15 , 39,35,rising,7.2 ,5.5, 9.1
"Frederick, VA - Shenandoah, VA(7)",0025,***,20.1 ,17.6, 22.8,N/A , 7 , 13,52,stable,0.1 ,-2.7, 3.0
"Shawano, WI - Langlade, WI(7)",0379,***,20 ,15.8, 25.1,N/A , 8 , 25,18,rising,3.3 ,0.4, 6.3
"Claiborne, TN(7)",0878,***,20 ,14.2, 27.7,N/A , 2 , 27,8,stable,0.5 ,-4.4, 5.6
"Laurens, SC - Greenwood, SC(7)",0187,***,20 ,17.5, 22.9,N/A , 4 , 9,49,stable,1.1 ,-0.5, 2.7
"Tangipahoa, LA - St. Helena, LA(7)",0423,***,20 ,16.8, 23.7,N/A , 2 , 9,29,rising,3.7 ,1.1, 6.4
"Cascade (Great Falls), MT - Glacier, MT(7)",0692,***,19.9 ,16.7, 23.6,N/A , 6 , 11,30,rising,3.7 ,1.3, 6.3
"Tarrant (Fort Worth), TX - Johnson, TX(7)",0434,***,19.9 ,19, 20.7,N/A , 2 , 9,462,rising,2.2 ,1.3, 3.1
"Thomas, GA - Mitchell, GA(7)",0178,***,19.8 ,16.1, 24.1,N/A , 13 , 40,21,rising,11.5 ,2.8, 20.9
"Calhoun (Anniston), AL - Cleburne, AL(7)",0177,***,19.8 ,16.7, 23.3,N/A , 7 , 15,31,stable,1.9 ,-1.1, 5.0
"Appanoose, IA - Davis, IA(7)",0649,***,19.7 ,12.8, 29.4,N/A , 10 , 33,6,stable,1.4 ,-0.9, 3.7
"Mason, WV(7)",0904,***,19.7 ,13.2, 28.4,N/A , 1 , 15,7,stable,0.0 ,-3.5, 3.7
"Orange (Newburgh), NY - Sullivan, NY(7)",0086,***,19.7 ,18, 21.5,N/A , 12 , 20,101,rising,3.3 ,1.6, 4.9
"Harrison, WV - Upshur, WV(7)",0092,***,19.7 ,16.8, 23,N/A , 5 , 15,36,stable,1.0 ,-1.5, 3.7
"New Haven (New Haven), CT - Litchfield, CT(7)",0085,***,19.7 ,18.6, 20.7,N/A , 2 , 4,304,falling,-1.7 ,-2.6, -0.8
"Angelina, TX - Walker, TX(7)",0449,***,19.6 ,17.3, 22.3,N/A , 2 , 17,51,stable,0.8 ,-0.6, 2.2
"Hartford (Hartford), CT - Tolland, CT(7)",0004,***,19.6 ,18.6, 20.7,N/A , 2 , 4,279,falling,-2.5 ,-3.6, -1.3
"Kent (Grand Rapids), MI - Ionia, MI(7)",0309,***,19.6 ,18.3, 21,N/A , 10 , 21,179,stable,0.8 ,-1.0, 2.6
"Scott, TN(7)",0263,***,19.6 ,12.5, 29.5,N/A , 1 , 28,5,stable,0.5 ,-4.2, 5.3
"Pearl River, MS(7)",0936,***,19.6 ,14.9, 25.3,N/A , 1 , 20,13,*,*,*,*
"Dougherty (Albany), GA - Lee, GA(7)",0144,***,19.6 ,17, 22.6,N/A , 16 , 38,41,rising,2.6 ,0.4, 5.0
"Jefferson (Birmingham), AL - Shelby, AL(7)",0150,***,19.6 ,18.6, 20.7,N/A , 8 , 14,277,stable,-0.8 ,-2.8, 1.3
"Oneida (Utica), NY - Madison, NY(7)",0059,***,19.6 ,17.7, 21.6,N/A , 12 , 20,88,rising,2.4 ,0.9, 3.9
"Pike, MS - Marion, MS(7)",0477,***,19.6 ,16, 23.7,N/A , 1 , 18,23,*,*,*,*
"Glynn, GA - Camden, GA(7)",0890,***,19.5 ,16.9, 22.5,N/A , 17 , 39,43,rising,2.3 ,0.6, 4.0
"Cheyenne, NE - Kimball, NE(7)",0741,***,19.5 ,10.9, 32.3,N/A , 3 , 22,3,stable,-1.2 ,-6.9, 4.8
"Genesee (Flint), MI - Lapeer, MI(7)",0328,***,19.5 ,17.9, 21.2,N/A , 9 , 22,115,stable,0.3 ,-1.0, 1.7
"Lane (Eugene), OR - Douglas, OR(7)",0782,***,19.5 ,17.9, 21.2,N/A , 5 , 10,121,falling,-2.3 ,-3.7, -0.8
"Roscommon, MI - Otsego, MI(7)",0392,***,19.5 ,15.5, 24.3,N/A , 3 , 24,20,stable,1.4 ,-1.2, 4.1
"Ingham (Lansing), MI - Eaton, MI(7)",0285,***,19.5 ,17.8, 21.2,N/A , 9 , 22,115,stable,-2.7 ,-5.6, 0.2
"Whitfield, GA - Murray, GA(7)",0145,***,19.4 ,16.4, 22.9,N/A , 15 , 39,30,stable,-1.7 ,-6.3, 3.1
"Lackawanna (Scranton), PA - Wayne, PA(7)",0047,***,19.4 ,17.3, 21.7,N/A , 15 , 26,69,rising,2.8 ,0.9, 4.8
"Johnson, TN(7)",0899,***,19.4 ,12.4, 29.6,N/A , 1 , 28,5,*,*,*,*
"Union, IL - Alexander, IL(7)",0563,***,19.4 ,13.2, 27.6,N/A , 7 , 33,7,stable,2.8 ,-3.5, 9.4
"Etowah (Gadsden), AL - Marshall, AL(7)",0224,***,19.4 ,17.4, 21.6,N/A , 8 , 15,70,stable,0.9 ,-1.0, 2.9
"Boone (Columbia), MO - Randolph, MO(7)",0553,***,19.4 ,17, 22,N/A , 3 , 16,52,rising,2.7 ,0.6, 4.9
"Walker, GA - Catoosa, GA(7)",0141,***,19.4 ,16.5, 22.6,N/A , 17 , 39,35,stable,0.5 ,-1.6, 2.6
"St. Joseph (South Bend), IN - Marshall, IN(7)",0312,***,19.3 ,17.4, 21.5,N/A , 14 , 27,76,stable,-1.1 ,-2.8, 0.6
"Erie (Erie), PA - Warren, PA(7)",0880,***,19.3 ,17.3, 21.5,N/A , 16 , 26,75,stable,1.2 ,-0.2, 2.6
"Calcasieu (Lake Charles), LA - Vernon, LA(7)",0470,***,19.2 ,17.2, 21.5,N/A , 4 , 8,67,rising,2.4 ,0.9, 3.9
"Linn, OR - Benton, OR(7)",0727,***,19.2 ,16.8, 21.9,N/A , 5 , 11,49,falling,-11.4 ,-20.2, -1.5
"Stark, ND - Dunn, ND(7)",0605,***,19.2 ,13.4, 26.6,N/A , 2 , 8,8,rising,6.9 ,0.6, 13.6
"Winn, LA(7)",0530,***,19.2 ,10.9, 31.5,N/A , 1 , 15,3,*,*,*,*
"Jackson (Medford), OR - Josephine, OR(7)",0973,***,19.2 ,17.2, 21.3,N/A , 5 , 11,83,falling,-3.4 ,-5.7, -1.0
"Lincoln, MS - Copiah, MS(7)",0511,***,19.1 ,14.8, 24.3,N/A , 1 , 20,14,*,*,*,*
"Henry, MO - Bates, MO(7)",0607,***,19.1 ,14.3, 25.1,N/A , 2 , 21,12,stable,0.9 ,-4.4, 6.5
"Coffee, TN - Franklin, TN(7)",0239,***,19.1 ,16, 22.6,N/A , 7 , 24,29,stable,0.8 ,-2.8, 4.6
"Wayne, GA - Appling, GA(7)",0230,***,19 ,14.1, 25.1,N/A , 10 , 41,10,stable,2.8 ,-0.2, 5.8
"Wapello, IA - Mahaska, IA(7)",0589,***,19 ,15.5, 23,N/A , 23 , 33,24,rising,2.1 ,0.8, 3.6
