
	Screening and Risk Factors Report for United States by County
(2008-2010 County Level Modeled Estimate Combining BRFSS & NHIS)

Ever Smoked
"All Races (includes Hispanic), Both Sexes, Ages 18+"
Healthy People 2020 Objective Number: n/a

Sorted by Percent

County, FIPS,Met Objective?(1),"Model-Based Percent(3)","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Columbia County, Oregon",41009,n/a,52.9 ,44.0, 61.7
"Daviess County, Indiana",18027,n/a,52.9 ,43.9, 61.9
"Franklin County, Missouri",29071,n/a,52.9 ,44.6, 61.2
"Gratiot County, Michigan",26057,n/a,52.9 ,44.0, 61.8
"Henry County, Kentucky",21103,n/a,52.9 ,42.9, 62.9
"Houston County, Tennessee",47083,n/a,52.9 ,42.8, 63.1
"Lincoln County, Colorado",08073,n/a,52.9 ,41.3, 64.5
"Montgomery County, Kentucky",21173,n/a,52.9 ,44.0, 61.7
"Moore County, Tennessee",47127,n/a,52.9 ,40.4, 65.4
"Morgan County, Tennessee",47129,n/a,52.9 ,43.1, 62.7
"Motley County, Texas",48345,n/a,52.9 ,39.3, 66.5
"Perry County, Missouri",29157,n/a,52.9 ,43.2, 62.5
"Waushara County, Wisconsin",55137,n/a,52.9 ,44.2, 61.6
"Bollinger County, Missouri",29017,n/a,52.8 ,42.3, 63.4
"Cortland County, New York",36023,n/a,52.8 ,44.0, 61.6
"Gallatin County, Kentucky",21077,n/a,52.8 ,42.5, 63.0
"Independence County, Arkansas",05063,n/a,52.8 ,43.8, 61.8
"Iron County, Missouri",29093,n/a,52.8 ,42.3, 63.3
"Jack County, Texas",48237,n/a,52.8 ,42.1, 63.4
"Laclede County, Missouri",29105,n/a,52.8 ,43.8, 61.7
"Livingston County, Missouri",29117,n/a,52.8 ,43.5, 62.1
"Quay County, New Mexico",35037,n/a,52.8 ,42.4, 63.1
"Russell County, Virginia",51167,n/a,52.8 ,43.0, 62.5
"Sabine County, Texas",48403,n/a,52.8 ,42.5, 63.1
"Barber County, Kansas",20007,n/a,52.7 ,42.9, 62.5
"Barbour County, West Virginia",54001,n/a,52.7 ,42.8, 62.6
"Bennington County, Vermont",50003,n/a,52.7 ,44.5, 60.9
"Benzie County, Michigan",26019,n/a,52.7 ,42.1, 63.3
"Borden County, Texas",48033,n/a,52.7 ,34.7, 70.7
"Dearborn County, Indiana",18029,n/a,52.7 ,43.3, 62.1
"Henderson County, Kentucky",21101,n/a,52.7 ,44.1, 61.2
"Jackson County, Kansas",20085,n/a,52.7 ,43.7, 61.8
"Jackson County, Texas",48239,n/a,52.7 ,41.5, 63.8
"Lincoln County, Oregon",41041,n/a,52.7 ,44.1, 61.2
"Marion County, Mississippi",28091,n/a,52.7 ,43.6, 61.7
"McCulloch County, Texas",48307,n/a,52.7 ,42.6, 62.9
"Monroe County, Florida",12087,n/a,52.7 ,42.6, 62.8
"Montgomery County, Iowa",19137,n/a,52.7 ,43.4, 62.0
"Osage County, Missouri",29151,n/a,52.7 ,42.7, 62.7
"Otero County, Colorado",08089,n/a,52.7 ,43.1, 62.2
"Searcy County, Arkansas",05129,n/a,52.7 ,42.4, 63.0
"White County, Georgia",13311,n/a,52.7 ,42.9, 62.6
"Wyoming County, West Virginia",54109,n/a,52.7 ,42.7, 62.6
"Yancey County, North Carolina",37199,n/a,52.7 ,43.5, 61.9
"Barry County, Missouri",29009,n/a,52.6 ,43.4, 61.8
"Butts County, Georgia",13035,n/a,52.6 ,43.6, 61.6
"Custer County, Colorado",08027,n/a,52.6 ,40.6, 64.7
"East Feliciana Parish, Louisiana",22037,n/a,52.6 ,42.8, 62.5
"Garfield County, Nebraska",31071,n/a,52.6 ,42.7, 62.4
"Jackson County, Alabama",01071,n/a,52.6 ,43.0, 62.1
"Knox County, Indiana",18083,n/a,52.6 ,43.5, 61.6
"Madison County, Florida",12079,n/a,52.6 ,43.6, 61.6
"McClain County, Oklahoma",40087,n/a,52.6 ,43.2, 62.0
"Monroe County, Arkansas",05095,n/a,52.6 ,42.1, 63.0
"Nez Perce County, Idaho",16069,n/a,52.6 ,43.9, 61.3
"Putnam County, West Virginia",54079,n/a,52.6 ,43.9, 61.3
"Randolph County, Indiana",18135,n/a,52.6 ,43.2, 62.0
"Rusk County, Wisconsin",55107,n/a,52.6 ,43.2, 62.0
"Saline County, Nebraska",31151,n/a,52.6 ,42.3, 62.8
"Smith County, Kansas",20183,n/a,52.6 ,41.9, 63.4
"Smith County, Tennessee",47159,n/a,52.6 ,42.4, 62.7
"Tripp County, South Dakota",46123,n/a,52.6 ,41.6, 63.6
"Washington County, Georgia",13303,n/a,52.6 ,42.6, 62.6
"White County, Tennessee",47185,n/a,52.6 ,43.4, 61.7
"Bandera County, Texas",48019,n/a,52.5 ,42.6, 62.4
"Barren County, Kentucky",21009,n/a,52.5 ,45.2, 59.9
"Boyd County, Kentucky",21019,n/a,52.5 ,43.7, 61.3
"Carteret County, North Carolina",37031,n/a,52.5 ,43.9, 61.2
"Clatsop County, Oregon",41007,n/a,52.5 ,43.8, 61.3
"Cullman County, Alabama",01043,n/a,52.5 ,43.7, 61.4
"Douglas County, Illinois",17041,n/a,52.5 ,42.4, 62.5
"Fayette County, West Virginia",54019,n/a,52.5 ,43.9, 61.1
"Foard County, Texas",48155,n/a,52.5 ,39.1, 66.0
"Greene County, New York",36039,n/a,52.5 ,43.4, 61.5
"Hillsborough County, New Hampshire",33011,n/a,52.5 ,46.4, 58.7
"Lorain County, Ohio",39093,n/a,52.5 ,45.7, 59.3
"Morrison County, Minnesota",27097,n/a,52.5 ,43.2, 61.8
"Okfuskee County, Oklahoma",40107,n/a,52.5 ,42.8, 62.2
"Ozark County, Missouri",29153,n/a,52.5 ,42.0, 63.0
"Taliaferro County, Georgia",13265,n/a,52.5 ,40.0, 64.9
"Washington County, New York",36115,n/a,52.5 ,43.7, 61.4
"Adams County, Illinois",17001,n/a,52.4 ,43.4, 61.4
"Adams County, North Dakota",38001,n/a,52.4 ,40.0, 64.9
"Crowley County, Colorado",08025,n/a,52.4 ,35.5, 69.2
"Custer County, Idaho",16037,n/a,52.4 ,40.4, 64.4
"Mellette County, South Dakota",46095,n/a,52.4 ,39.2, 65.7
"Ouachita County, Arkansas",05103,n/a,52.4 ,44.1, 60.7
"Page County, Virginia",51139,n/a,52.4 ,42.8, 62.1
"Sanders County, Montana",30089,n/a,52.4 ,42.9, 61.8
"Skamania County, Washington",53059,n/a,52.4 ,41.9, 62.9
"Antelope County, Nebraska",31003,n/a,52.3 ,42.1, 62.6
"Barnwell County, South Carolina",45011,n/a,52.3 ,42.3, 62.2
"Bland County, Virginia",51021,n/a,52.3 ,41.4, 63.2
"Bureau County, Illinois",17011,n/a,52.3 ,41.3, 63.3
"Chilton County, Alabama",01021,n/a,52.3 ,42.8, 61.7
"Cuming County, Nebraska",31039,n/a,52.3 ,42.5, 62.1
"Danville City, Virginia",51590,n/a,52.3 ,42.9, 61.7
"Garland County, Arkansas",05051,n/a,52.3 ,43.9, 60.7
"Gogebic County, Michigan",26053,n/a,52.3 ,42.7, 62.0
"Harrison County, West Virginia",54033,n/a,52.3 ,43.7, 60.9
"Jefferson County, Kansas",20087,n/a,52.3 ,41.6, 63.0
"Jefferson County, Pennsylvania",42065,n/a,52.3 ,43.4, 61.2
"Knox County, Texas",48275,n/a,52.3 ,40.2, 64.3
"Liberty County, Texas",48291,n/a,52.3 ,43.2, 61.5
"Menifee County, Kentucky",21165,n/a,52.3 ,42.1, 62.5
"Montgomery County, Georgia",13209,n/a,52.3 ,41.1, 63.5
"Montgomery County, Illinois",17135,n/a,52.3 ,42.0, 62.7
"Ross County, Ohio",39141,n/a,52.3 ,43.2, 61.3
"Sedgwick County, Colorado",08115,n/a,52.3 ,41.1, 63.4
"Sullivan County, New Hampshire",33019,n/a,52.3 ,44.1, 60.6
"Washington County, Florida",12133,n/a,52.3 ,43.3, 61.2
"White County, Arkansas",05145,n/a,52.3 ,45.0, 59.5
"Arkansas County, Arkansas",05001,n/a,52.2 ,41.9, 62.5
"Beadle County, South Dakota",46005,n/a,52.2 ,42.1, 62.2
"Bosque County, Texas",48035,n/a,52.2 ,42.2, 62.2
"Campbell County, Wyoming",56005,n/a,52.2 ,42.7, 61.7
"Covington County, Alabama",01039,n/a,52.2 ,43.2, 61.3
"Edmonson County, Kentucky",21061,n/a,52.2 ,42.0, 62.4
"Fulton County, New York",36035,n/a,52.2 ,43.1, 61.2
"Fulton County, Pennsylvania",42057,n/a,52.2 ,43.0, 61.4
"Golden Valley County, Montana",30037,n/a,52.2 ,38.7, 65.8
"Grand County, Colorado",08049,n/a,52.2 ,41.4, 63.0
"Grant County, West Virginia",54023,n/a,52.2 ,42.4, 62.0
"Hancock County, Kentucky",21091,n/a,52.2 ,40.6, 63.9
"Henderson County, Tennessee",47077,n/a,52.2 ,43.0, 61.4
"Highland County, Ohio",39071,n/a,52.2 ,43.3, 61.1
"Limestone County, Alabama",01083,n/a,52.2 ,43.6, 60.8
"Lincoln County, Tennessee",47103,n/a,52.2 ,42.6, 61.8
"Mercer County, Missouri",29129,n/a,52.2 ,40.9, 63.5
"Montague County, Texas",48337,n/a,52.2 ,42.4, 62.0
"Park County, Colorado",08093,n/a,52.2 ,42.3, 62.1
"Pendleton County, West Virginia",54071,n/a,52.2 ,41.6, 62.8
"Plumas County, California",06063,n/a,52.2 ,42.1, 62.3
"Pulaski County, Georgia",13235,n/a,52.2 ,41.7, 62.8
"Randolph County, West Virginia",54083,n/a,52.2 ,43.1, 61.4
"Runnels County, Texas",48399,n/a,52.2 ,43.0, 61.4
"Sherman County, Texas",48421,n/a,52.2 ,38.6, 65.9
"Waldo County, Maine",23027,n/a,52.2 ,43.9, 60.5
"Weakley County, Tennessee",47183,n/a,52.2 ,42.5, 61.8
"Winston County, Mississippi",28159,n/a,52.2 ,41.9, 62.5
"Worth County, Iowa",19195,n/a,52.2 ,41.5, 62.9
"Androscoggin County, Maine",23001,n/a,52.1 ,43.6, 60.7
"Austin County, Texas",48015,n/a,52.1 ,41.6, 62.6
"Barnes County, North Dakota",38003,n/a,52.1 ,43.2, 61.0
"Bryan County, Georgia",13029,n/a,52.1 ,42.7, 61.5
"Columbia County, Wisconsin",55021,n/a,52.1 ,43.5, 60.8
"Etowah County, Alabama",01055,n/a,52.1 ,43.6, 60.6
"Green County, Wisconsin",55045,n/a,52.1 ,42.9, 61.3
"Griggs County, North Dakota",38039,n/a,52.1 ,42.0, 62.2
"Hartley County, Texas",48205,n/a,52.1 ,38.5, 65.7
"Humboldt County, Iowa",19091,n/a,52.1 ,42.4, 61.8
"Lincoln County, Georgia",13181,n/a,52.1 ,41.9, 62.3
"Madison County, Kentucky",21151,n/a,52.1 ,42.8, 61.3
"Marshall County, Oklahoma",40095,n/a,52.1 ,42.9, 61.2
"Monroe County, Tennessee",47123,n/a,52.1 ,43.4, 60.9
"Park County, Wyoming",56029,n/a,52.1 ,42.3, 61.9
"Pottawattamie County, Iowa",19155,n/a,52.1 ,43.6, 60.6
"Roosevelt County, Montana",30085,n/a,52.1 ,40.3, 63.9
"Shannon County, Missouri",29203,n/a,52.1 ,41.0, 63.1
"Somervell County, Texas",48425,n/a,52.1 ,40.5, 63.6
"Swift County, Minnesota",27151,n/a,52.1 ,41.8, 62.4
"Wayne County, Tennessee",47181,n/a,52.1 ,42.2, 62.0
"Worcester County, Maryland",24047,n/a,52.1 ,42.7, 61.4
"Brown County, Kansas",20013,n/a,52.0 ,42.5, 61.5
"Buchanan County, Missouri",29021,n/a,52.0 ,44.4, 59.5
"Carroll County, Virginia",51035,n/a,52.0 ,42.4, 61.5
"Charles Mix County, South Dakota",46023,n/a,52.0 ,41.8, 62.3
"Chattooga County, Georgia",13055,n/a,52.0 ,43.0, 61.0
"Colfax County, New Mexico",35007,n/a,52.0 ,42.6, 61.3
"Creek County, Oklahoma",40037,n/a,52.0 ,43.5, 60.5
"Dickinson County, Iowa",19059,n/a,52.0 ,42.1, 62.0
"Haskell County, Oklahoma",40061,n/a,52.0 ,41.9, 62.0
"Henry County, Ohio",39069,n/a,52.0 ,42.5, 61.4
"Kearney County, Nebraska",31099,n/a,52.0 ,40.8, 63.1
"Llano County, Texas",48299,n/a,52.0 ,42.0, 62.1
"Morgan County, Ohio",39115,n/a,52.0 ,42.6, 61.4
"Pershing County, Nevada",32027,n/a,52.0 ,39.3, 64.7
"Pickaway County, Ohio",39129,n/a,52.0 ,42.9, 61.0
"Pike County, Kentucky",21195,n/a,52.0 ,42.2, 61.9
"Rowan County, Kentucky",21205,n/a,52.0 ,42.7, 61.2
"Schuylkill County, Pennsylvania",42107,n/a,52.0 ,43.4, 60.6
"Stokes County, North Carolina",37169,n/a,52.0 ,43.3, 60.8
"Webster County, Georgia",13307,n/a,52.0 ,40.5, 63.5
"Allen County, Ohio",39003,n/a,51.9 ,44.9, 58.9
"Butler County, Alabama",01013,n/a,51.9 ,42.8, 61.0
"Cheboygan County, Michigan",26031,n/a,51.9 ,42.2, 61.6
"Decatur County, Tennessee",47039,n/a,51.9 ,42.1, 61.7
"Dixie County, Florida",12029,n/a,51.9 ,40.4, 63.5
"Dubois County, Indiana",18037,n/a,51.9 ,42.7, 61.1
"Effingham County, Georgia",13103,n/a,51.9 ,41.7, 62.1
"Essex County, New York",36031,n/a,51.9 ,42.7, 61.1
"Essex County, Virginia",51057,n/a,51.9 ,41.6, 62.3
"Hancock County, Illinois",17067,n/a,51.9 ,42.3, 61.5
"Hardy County, West Virginia",54031,n/a,51.9 ,41.7, 62.1
"Hawkins County, Tennessee",47073,n/a,51.9 ,43.2, 60.5
"Hill County, Texas",48217,n/a,51.9 ,42.2, 61.6
"Hughes County, South Dakota",46065,n/a,51.9 ,42.4, 61.4
"Lawrence County, Alabama",01079,n/a,51.9 ,42.9, 60.8
"Leake County, Mississippi",28079,n/a,51.9 ,42.3, 61.4
"Madison County, Ohio",39097,n/a,51.9 ,42.8, 61.0
"Marion County, Arkansas",05089,n/a,51.9 ,42.0, 61.8
"Meade County, South Dakota",46093,n/a,51.9 ,42.0, 61.9
"Natrona County, Wyoming",56025,n/a,51.9 ,45.6, 58.3
"Neshoba County, Mississippi",28099,n/a,51.9 ,42.5, 61.2
"Penobscot County, Maine",23019,n/a,51.9 ,43.2, 60.6
"Shelby County, Iowa",19165,n/a,51.9 ,42.0, 61.7
"St. Louis County, Minnesota",27137,n/a,51.9 ,45.1, 58.7
"Washington County, Colorado",08121,n/a,51.9 ,40.8, 63.0
"Wayne County, Pennsylvania",42127,n/a,51.9 ,42.7, 61.1
"Westmoreland County, Pennsylvania",42129,n/a,51.9 ,44.3, 59.4
"Bristol County, Rhode Island",44001,n/a,51.8 ,42.1, 61.5
"Cheshire County, New Hampshire",33005,n/a,51.8 ,43.3, 60.2
"Clark County, Indiana",18019,n/a,51.8 ,43.6, 60.0
"Glades County, Florida",12043,n/a,51.8 ,38.9, 64.7
"Grainger County, Tennessee",47057,n/a,51.8 ,41.6, 62.0
"Graves County, Kentucky",21083,n/a,51.8 ,43.2, 60.5
"Josephine County, Oregon",41033,n/a,51.8 ,43.5, 60.1
"Lander County, Nevada",32015,n/a,51.8 ,40.4, 63.1
"Madison County, New York",36053,n/a,51.8 ,42.9, 60.8
"Marion County, Missouri",29127,n/a,51.8 ,42.8, 60.8
"Medina County, Ohio",39103,n/a,51.8 ,43.8, 59.9
"Montgomery County, Indiana",18107,n/a,51.8 ,43.1, 60.4
"Montgomery County, New York",36057,n/a,51.8 ,42.7, 60.8
"Mora County, New Mexico",35033,n/a,51.8 ,37.0, 66.5
"Pepin County, Wisconsin",55091,n/a,51.8 ,41.5, 62.1
"Price County, Wisconsin",55099,n/a,51.8 ,42.0, 61.7
"Billings County, North Dakota",38007,n/a,51.7 ,33.6, 69.8
"Bledsoe County, Tennessee",47007,n/a,51.7 ,42.1, 61.2
"Bonner County, Idaho",16017,n/a,51.7 ,42.6, 60.8
"Butler County, Kansas",20015,n/a,51.7 ,42.6, 60.8
"Carbon County, Montana",30009,n/a,51.7 ,42.0, 61.3
"Crook County, Wyoming",56011,n/a,51.7 ,41.8, 61.6
"Douglas County, Oregon",41019,n/a,51.7 ,44.4, 59.0
"Fannin County, Georgia",13111,n/a,51.7 ,42.3, 61.2
"Hamblen County, Tennessee",47063,n/a,51.7 ,42.5, 60.8
"Itasca County, Minnesota",27061,n/a,51.7 ,42.9, 60.4
"Marinette County, Wisconsin",55075,n/a,51.7 ,42.7, 60.8
"Marshall County, Alabama",01095,n/a,51.7 ,42.6, 60.8
"Piute County, Utah",49031,n/a,51.7 ,38.9, 64.4
"Simpson County, Kentucky",21213,n/a,51.7 ,42.2, 61.1
"Tazewell County, Illinois",17179,n/a,51.7 ,43.6, 59.8
"Tuscola County, Michigan",26157,n/a,51.7 ,42.7, 60.8
"Wapello County, Iowa",19179,n/a,51.7 ,42.5, 60.9
"Yadkin County, North Carolina",37197,n/a,51.7 ,42.0, 61.4
"Adams County, Wisconsin",55001,n/a,51.6 ,42.4, 60.8
"Burt County, Nebraska",31021,n/a,51.6 ,42.2, 61.1
"Butler County, Pennsylvania",42019,n/a,51.6 ,43.4, 59.8
"Calhoun County, Mississippi",28013,n/a,51.6 ,41.5, 61.8
"Fulton County, Ohio",39051,n/a,51.6 ,42.8, 60.4
"Kennebec County, Maine",23011,n/a,51.6 ,42.8, 60.3
"Knox County, Ohio",39083,n/a,51.6 ,42.4, 60.8
"Lake County, Ohio",39085,n/a,51.6 ,44.6, 58.6
"Lauderdale County, Mississippi",28075,n/a,51.6 ,44.3, 58.9
"Lincoln County, Minnesota",27081,n/a,51.6 ,40.5, 62.6
"Mahaska County, Iowa",19123,n/a,51.6 ,42.6, 60.6
"Mason County, Michigan",26105,n/a,51.6 ,42.6, 60.7
"McDowell County, West Virginia",54047,n/a,51.6 ,41.2, 61.9
"McKean County, Pennsylvania",42083,n/a,51.6 ,44.6, 58.5
"Mitchell County, Texas",48335,n/a,51.6 ,39.6, 63.6
"Patrick County, Virginia",51141,n/a,51.6 ,42.4, 60.8
"Pend Oreille County, Washington",53051,n/a,51.6 ,41.3, 61.8
"Polk County, North Carolina",37149,n/a,51.6 ,42.0, 61.3
"Porter County, Indiana",18127,n/a,51.6 ,44.0, 59.1
"Pottawatomie County, Oklahoma",40125,n/a,51.6 ,42.8, 60.4
"Stillwater County, Montana",30095,n/a,51.6 ,42.1, 61.0
"Traill County, North Dakota",38097,n/a,51.6 ,43.0, 60.1
"Van Buren County, Iowa",19177,n/a,51.6 ,41.3, 61.8
"Wallowa County, Oregon",41063,n/a,51.6 ,41.6, 61.6
"Wasco County, Oregon",41065,n/a,51.6 ,42.3, 60.9
"Young County, Texas",48503,n/a,51.6 ,41.6, 61.7
"Cerro Gordo County, Iowa",19033,n/a,51.5 ,42.9, 60.1
"Champaign County, Ohio",39021,n/a,51.5 ,42.0, 61.0
"Crawford County, Pennsylvania",42039,n/a,51.5 ,42.9, 60.1
"Fleming County, Kentucky",21069,n/a,51.5 ,42.6, 60.3
"Jones County, Texas",48253,n/a,51.5 ,40.4, 62.7
"Kewaunee County, Wisconsin",55061,n/a,51.5 ,42.2, 60.9
"Lewis County, Missouri",29111,n/a,51.5 ,40.8, 62.1
"Madison County, North Carolina",37115,n/a,51.5 ,41.8, 61.1
"McDuffie County, Georgia",13189,n/a,51.5 ,41.5, 61.4
"Osage County, Kansas",20139,n/a,51.5 ,42.2, 60.8
"Russell County, Kentucky",21207,n/a,51.5 ,42.4, 60.6
"Rutherford County, North Carolina",37161,n/a,51.5 ,44.4, 58.5
"Upshur County, Texas",48459,n/a,51.5 ,42.5, 60.5
"Washburn County, Wisconsin",55129,n/a,51.5 ,42.0, 61.0
"Washington County, Tennessee",47179,n/a,51.5 ,43.3, 59.6
"Wayne County, Iowa",19185,n/a,51.5 ,41.6, 61.5
"Wright County, Iowa",19197,n/a,51.5 ,41.2, 61.9
"Yankton County, South Dakota",46135,n/a,51.5 ,42.5, 60.5
"Beckham County, Oklahoma",40009,n/a,51.4 ,41.8, 61.0
"Coffey County, Kansas",20031,n/a,51.4 ,43.7, 59.2
"Daviess County, Missouri",29061,n/a,51.4 ,41.0, 61.8
"Dickson County, Tennessee",47043,n/a,51.4 ,42.3, 60.4
"Emmet County, Michigan",26047,n/a,51.4 ,41.9, 60.8
"Falls Church City, Virginia",51610,n/a,51.4 ,38.3, 64.5
"Harlan County, Nebraska",31083,n/a,51.4 ,40.8, 62.1
"Hillsdale County, Michigan",26059,n/a,51.4 ,42.3, 60.4
"Issaquena County, Mississippi",28055,n/a,51.4 ,35.9, 66.8
"Jefferson County, Nebraska",31095,n/a,51.4 ,41.4, 61.3
"Logan County, Colorado",08075,n/a,51.4 ,42.4, 60.4
"Marion County, Kentucky",21155,n/a,51.4 ,42.2, 60.5
"Mifflin County, Pennsylvania",42087,n/a,51.4 ,42.4, 60.4
"Saunders County, Nebraska",31155,n/a,51.4 ,42.1, 60.8
"Wexford County, Michigan",26165,n/a,51.4 ,42.1, 60.7
"Winn Parish, Louisiana",22127,n/a,51.4 ,41.6, 61.1
"Cedar County, Iowa",19031,n/a,51.3 ,41.8, 60.8
"Christian County, Kentucky",21047,n/a,51.3 ,43.2, 59.4
"Door County, Wisconsin",55029,n/a,51.3 ,42.0, 60.6
"Franklin County, Arkansas",05047,n/a,51.3 ,41.6, 60.9
"Fredericksburg City, Virginia",51630,n/a,51.3 ,39.9, 62.7
"Grundy County, Iowa",19075,n/a,51.3 ,40.7, 61.8
"Jay County, Indiana",18075,n/a,51.3 ,44.1, 58.5
"Nemaha County, Nebraska",31127,n/a,51.3 ,43.1, 59.6
"Pike County, Missouri",29163,n/a,51.3 ,41.8, 60.8
"Randolph County, Alabama",01111,n/a,51.3 ,41.9, 60.6
"Sargent County, North Dakota",38081,n/a,51.3 ,39.3, 63.2
"Tishomingo County, Mississippi",28141,n/a,51.3 ,42.0, 60.6
"Wayne County, Georgia",13305,n/a,51.3 ,41.7, 60.8
"Wilson County, Kansas",20205,n/a,51.3 ,41.7, 60.9
"Cannon County, Tennessee",47015,n/a,51.2 ,42.4, 60.0
"Claiborne County, Tennessee",47025,n/a,51.2 ,41.9, 60.5
"Clallam County, Washington",53009,n/a,51.2 ,42.9, 59.6
"Codington County, South Dakota",46029,n/a,51.2 ,44.6, 57.8
"Columbia County, New York",36021,n/a,51.2 ,43.6, 58.7
"Conway County, Arkansas",05029,n/a,51.2 ,41.4, 60.9
"DeKalb County, Indiana",18033,n/a,51.2 ,42.4, 60.0
"DeKalb County, Missouri",29063,n/a,51.2 ,39.2, 63.1
"Geneva County, Alabama",01061,n/a,51.2 ,41.6, 60.8
"Haralson County, Georgia",13143,n/a,51.2 ,42.3, 60.2
"Haskell County, Texas",48207,n/a,51.2 ,40.3, 62.2
"Johnson County, Illinois",17087,n/a,51.2 ,40.1, 62.3
"Keith County, Nebraska",31101,n/a,51.2 ,40.9, 61.5
"Lawrence County, Missouri",29109,n/a,51.2 ,42.1, 60.3
"Licking County, Ohio",39089,n/a,51.2 ,43.2, 59.1
"Madison County, Illinois",17119,n/a,51.2 ,42.8, 59.6
"New Madrid County, Missouri",29143,n/a,51.2 ,42.6, 59.8
"Oswego County, New York",36075,n/a,51.2 ,41.8, 60.6
"Taylor County, Iowa",19173,n/a,51.2 ,40.2, 62.2
"Upson County, Georgia",13293,n/a,51.2 ,41.9, 60.4
"Washington County, Nebraska",31177,n/a,51.2 ,41.9, 60.5
"Boone County, Arkansas",05009,n/a,51.1 ,42.0, 60.2
"Calhoun County, Iowa",19025,n/a,51.1 ,40.7, 61.5
"Cherokee County, South Carolina",45021,n/a,51.1 ,42.3, 59.9
"Chester County, Tennessee",47023,n/a,51.1 ,41.2, 61.0
"Columbia County, Washington",53013,n/a,51.1 ,38.1, 64.0
"Freeborn County, Minnesota",27047,n/a,51.1 ,42.1, 60.1
"Harlan County, Kentucky",21095,n/a,51.1 ,41.5, 60.6
"Hot Spring County, Arkansas",05059,n/a,51.1 ,42.4, 59.9
"Howard County, Indiana",18067,n/a,51.1 ,42.5, 59.7
"Keokuk County, Iowa",19107,n/a,51.1 ,40.0, 62.1
"Lincoln County, Wisconsin",55069,n/a,51.1 ,42.3, 59.9
"Marion County, Iowa",19125,n/a,51.1 ,42.2, 60.0
"Middlesex County, Virginia",51119,n/a,51.1 ,40.9, 61.3
"Norman County, Minnesota",27107,n/a,51.1 ,40.9, 61.4
"Person County, North Carolina",37145,n/a,51.1 ,41.8, 60.3
"Phillips County, Montana",30071,n/a,51.1 ,40.9, 61.3
"Rutland County, Vermont",50021,n/a,51.1 ,43.0, 59.3
"Sherman County, Kansas",20181,n/a,51.1 ,39.6, 62.5
"St. Clair County, Michigan",26147,n/a,51.1 ,43.9, 58.4
"St. Clair County, Missouri",29185,n/a,51.1 ,40.5, 61.6
"Stephenson County, Illinois",17177,n/a,51.1 ,42.2, 60.0
"Wabash County, Indiana",18169,n/a,51.1 ,42.1, 60.1
"Appling County, Georgia",13001,n/a,51.0 ,40.9, 61.0
"Caddo County, Oklahoma",40015,n/a,51.0 ,42.2, 59.8
"Cleburne County, Alabama",01029,n/a,51.0 ,40.4, 61.6
"Comanche County, Texas",48093,n/a,51.0 ,41.2, 60.7
"Duval County, Texas",48131,n/a,51.0 ,39.3, 62.7
"Grayson County, Texas",48181,n/a,51.0 ,42.3, 59.7
"Hancock County, Indiana",18059,n/a,51.0 ,42.1, 60.0
"Hill County, Montana",30041,n/a,51.0 ,40.9, 61.1
"Jefferson County, Oklahoma",40067,n/a,51.0 ,41.2, 60.7
"Juniata County, Pennsylvania",42067,n/a,51.0 ,41.3, 60.7
"Litchfield County, Connecticut",09005,n/a,51.0 ,42.7, 59.4
"Livingston County, Illinois",17105,n/a,51.0 ,41.5, 60.4
"Loudon County, Tennessee",47105,n/a,51.0 ,41.0, 61.0
"Mingo County, West Virginia",54059,n/a,51.0 ,42.2, 59.8
"Pine County, Minnesota",27115,n/a,51.0 ,41.5, 60.5
"Pocahontas County, Iowa",19151,n/a,51.0 ,40.9, 61.2
"Stephens County, Georgia",13257,n/a,51.0 ,42.0, 60.1
"Tama County, Iowa",19171,n/a,51.0 ,41.4, 60.7
"Terrell County, Georgia",13273,n/a,51.0 ,40.1, 61.8
"Walker County, Georgia",13295,n/a,51.0 ,41.9, 60.0
"Wilkinson County, Mississippi",28157,n/a,51.0 ,39.5, 62.5
"Blaine County, Montana",30005,n/a,50.9 ,41.5, 60.3
"Butler County, Iowa",19023,n/a,50.9 ,42.2, 59.6
"Cambria County, Pennsylvania",42021,n/a,50.9 ,42.5, 59.4
"Chester County, South Carolina",45023,n/a,50.9 ,42.3, 59.4
"Clermont County, Ohio",39025,n/a,50.9 ,42.3, 59.5
"Crawford County, Kansas",20037,n/a,50.9 ,41.4, 60.4
"Dukes County, Massachusetts",25007,n/a,50.9 ,40.8, 60.9
"Franklin County, Indiana",18047,n/a,50.9 ,41.3, 60.5
"Kingfisher County, Oklahoma",40073,n/a,50.9 ,41.6, 60.3
"Lake County, California",06033,n/a,50.9 ,42.2, 59.7
"Loup County, Nebraska",31115,n/a,50.9 ,37.5, 64.3
"Ohio County, West Virginia",54069,n/a,50.9 ,42.3, 59.4
"Panola County, Texas",48365,n/a,50.9 ,40.7, 61.0
"Perry County, Illinois",17145,n/a,50.9 ,39.4, 62.4
"Prince Edward County, Virginia",51147,n/a,50.9 ,41.3, 60.5
"Radford City, Virginia",51750,n/a,50.9 ,39.2, 62.7
"Raleigh County, West Virginia",54081,n/a,50.9 ,42.4, 59.5
"Rappahannock County, Virginia",51157,n/a,50.9 ,38.6, 63.2
"Roane County, Tennessee",47145,n/a,50.9 ,41.8, 60.1
"Salem County, New Jersey",34033,n/a,50.9 ,41.9, 59.9
