
	Screening and Risk Factors Report for United States by County
(2008-2010 County Level Modeled Estimate Combining BRFSS & NHIS)

Ever Smoked
"All Races (includes Hispanic), Both Sexes, Ages 18+"
Healthy People 2020 Objective Number: n/a

Sorted by Percent

County, FIPS,Met Objective?(1),"Model-Based Percent(3)","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Owen County, Indiana",18119,n/a,59.2 ,50.0, 68.5
"San Saba County, Texas",48411,n/a,59.2 ,47.9, 70.4
"Turner County, South Dakota",46125,n/a,59.2 ,47.1, 71.4
"Tyler County, West Virginia",54095,n/a,59.2 ,49.5, 68.9
"Bowman County, North Dakota",38011,n/a,59.1 ,47.7, 70.5
"Cavalier County, North Dakota",38019,n/a,59.1 ,48.9, 69.4
"Crawford County, Illinois",17033,n/a,59.1 ,48.5, 69.8
"Mathews County, Virginia",51115,n/a,59.1 ,48.5, 69.6
"Potter County, Pennsylvania",42105,n/a,59.1 ,49.8, 68.4
"Roscommon County, Michigan",26143,n/a,59.0 ,49.1, 68.9
"Shannon County, South Dakota",46113,n/a,59.0 ,42.6, 75.3
"Dawson County, Georgia",13085,n/a,58.9 ,49.1, 68.8
"Fannin County, Texas",48147,n/a,58.9 ,49.6, 68.1
"Shoshone County, Idaho",16079,n/a,58.9 ,49.3, 68.4
"Wabash County, Illinois",17185,n/a,58.9 ,46.7, 71.1
"Benton County, Tennessee",47005,n/a,58.8 ,49.0, 68.6
"Broadwater County, Montana",30007,n/a,58.8 ,47.6, 69.9
"Hitchcock County, Nebraska",31087,n/a,58.8 ,46.4, 71.2
"Iosco County, Michigan",26069,n/a,58.8 ,49.5, 68.2
"Mineral County, Colorado",08079,n/a,58.8 ,40.1, 77.5
"Modoc County, California",06049,n/a,58.8 ,47.9, 69.8
"Montour County, Pennsylvania",42093,n/a,58.8 ,49.1, 68.6
"Prairie County, Montana",30079,n/a,58.8 ,45.0, 72.5
"Sullivan County, Tennessee",47163,n/a,58.8 ,51.1, 66.6
"Taylor County, West Virginia",54091,n/a,58.8 ,48.6, 68.9
"Ford County, Illinois",17053,n/a,58.7 ,48.0, 69.4
"Fulton County, Kentucky",21075,n/a,58.7 ,48.6, 68.9
"King County, Texas",48269,n/a,58.7 ,38.2, 79.1
"Norton City, Virginia",51720,n/a,58.7 ,45.3, 72.0
"Ransom County, North Dakota",38073,n/a,58.7 ,48.2, 69.1
"Columbiana County, Ohio",39029,n/a,58.6 ,49.9, 67.3
"Hot Springs County, Wyoming",56017,n/a,58.6 ,48.0, 69.3
"Lawrence County, Ohio",39087,n/a,58.6 ,49.0, 68.2
"Ottawa County, Ohio",39123,n/a,58.6 ,49.5, 67.8
"Cape May County, New Jersey",34009,n/a,58.5 ,50.3, 66.8
"Dickinson County, Michigan",26043,n/a,58.5 ,49.3, 67.8
"Kingman County, Kansas",20095,n/a,58.5 ,47.6, 69.4
"Warren County, Pennsylvania",42123,n/a,58.5 ,49.7, 67.3
"Carroll County, Ohio",39019,n/a,58.4 ,49.0, 67.8
"Elk County, Pennsylvania",42047,n/a,58.4 ,49.6, 67.2
"Fayette County, Pennsylvania",42051,n/a,58.4 ,50.6, 66.2
"Meigs County, Ohio",39105,n/a,58.4 ,48.5, 68.2
"Stark County, Illinois",17175,n/a,58.4 ,47.9, 68.8
"Adair County, Iowa",19001,n/a,58.3 ,47.7, 68.8
"Jackson County, West Virginia",54035,n/a,58.3 ,49.0, 67.5
"Johnson County, Kentucky",21115,n/a,58.3 ,48.8, 67.9
"Johnson County, Tennessee",47091,n/a,58.3 ,47.0, 69.6
"Lake County, Michigan",26085,n/a,58.3 ,46.7, 69.9
"Ripley County, Missouri",29181,n/a,58.3 ,48.8, 67.8
"Warren County, Indiana",18171,n/a,58.3 ,48.1, 68.5
"Hamilton County, Texas",48193,n/a,58.2 ,47.5, 68.8
"Muhlenberg County, Kentucky",21177,n/a,58.2 ,49.1, 67.2
"Putnam County, Missouri",29171,n/a,58.2 ,47.0, 69.3
"Scott County, Indiana",18143,n/a,58.2 ,48.8, 67.5
"Cherokee County, Kansas",20021,n/a,58.1 ,48.6, 67.6
"Clearfield County, Pennsylvania",42033,n/a,58.1 ,49.3, 66.9
"Fallon County, Montana",30025,n/a,58.1 ,44.4, 71.8
"Hancock County, West Virginia",54029,n/a,58.1 ,48.5, 67.7
"Hardin County, Texas",48199,n/a,58.1 ,48.9, 67.2
"Marshall County, Kentucky",21157,n/a,58.1 ,49.3, 67.0
"Florence County, Wisconsin",55037,n/a,58.0 ,47.3, 68.7
"Grant County, Oklahoma",40053,n/a,58.0 ,45.0, 71.0
"Hickman County, Tennessee",47081,n/a,58.0 ,48.8, 67.1
"Miller County, Missouri",29131,n/a,58.0 ,48.5, 67.5
"Mitchell County, Kansas",20123,n/a,58.0 ,46.8, 69.2
"Newton County, Texas",48351,n/a,58.0 ,47.0, 69.1
"Polk County, Tennessee",47139,n/a,58.0 ,48.2, 67.8
"Robertson County, Kentucky",21201,n/a,58.0 ,46.6, 69.4
"Stewart County, Tennessee",47161,n/a,58.0 ,48.1, 67.8
"Wayne County, Illinois",17191,n/a,58.0 ,46.6, 69.3
"Wayne County, Missouri",29223,n/a,58.0 ,48.1, 68.0
"Worth County, Missouri",29227,n/a,58.0 ,46.4, 69.6
"Benton County, Missouri",29015,n/a,57.9 ,48.3, 67.4
"Coles County, Illinois",17029,n/a,57.9 ,44.6, 71.2
"Sanborn County, South Dakota",46111,n/a,57.9 ,45.6, 70.2
"Williamson County, Illinois",17199,n/a,57.9 ,46.1, 69.6
"Buffalo County, South Dakota",46017,n/a,57.8 ,40.7, 74.8
"Clay County, Texas",48077,n/a,57.8 ,45.6, 70.0
"Decatur County, Indiana",18031,n/a,57.8 ,48.6, 67.0
"Dent County, Missouri",29065,n/a,57.8 ,48.2, 67.4
"Dunn County, North Dakota",38025,n/a,57.8 ,44.8, 70.9
"Greene County, Pennsylvania",42059,n/a,57.8 ,48.8, 66.8
"Greenup County, Kentucky",21089,n/a,57.8 ,48.5, 67.1
"Martin County, Kentucky",21159,n/a,57.8 ,46.6, 69.1
"Whitley County, Kentucky",21235,n/a,57.8 ,48.5, 67.2
"Barton County, Missouri",29011,n/a,57.7 ,46.4, 69.0
"Cameron County, Pennsylvania",42023,n/a,57.7 ,46.1, 69.3
"Carter County, Kentucky",21043,n/a,57.7 ,48.2, 67.2
"Gasconade County, Missouri",29073,n/a,57.7 ,48.1, 67.3
"Knox County, Illinois",17095,n/a,57.7 ,46.1, 69.4
"Lawrence County, Arkansas",05075,n/a,57.7 ,46.8, 68.6
"Meigs County, Tennessee",47121,n/a,57.7 ,48.1, 67.4
"Rockcastle County, Kentucky",21203,n/a,57.7 ,48.2, 67.3
"Bent County, Colorado",08011,n/a,57.6 ,43.1, 72.0
"Bottineau County, North Dakota",38009,n/a,57.6 ,47.9, 67.2
"Fairfax City, Virginia",51600,n/a,57.6 ,45.8, 69.4
"Franklin County, Illinois",17055,n/a,57.6 ,45.9, 69.2
"Gove County, Kansas",20063,n/a,57.6 ,43.4, 71.7
"Henry County, Tennessee",47079,n/a,57.6 ,48.6, 66.6
"Orange County, Texas",48361,n/a,57.6 ,49.0, 66.1
"Oscoda County, Michigan",26135,n/a,57.6 ,46.3, 68.8
"Otsego County, Michigan",26137,n/a,57.6 ,48.1, 67.1
"Rush County, Indiana",18139,n/a,57.6 ,48.7, 66.4
"Sevier County, Tennessee",47155,n/a,57.6 ,48.1, 67.0
"Washington County, Indiana",18175,n/a,57.6 ,48.0, 67.2
"Belmont County, Ohio",39013,n/a,57.5 ,48.7, 66.3
"Garfield County, Washington",53023,n/a,57.5 ,44.3, 70.7
"Marion County, Kansas",20115,n/a,57.5 ,47.9, 67.1
"Menard County, Texas",48327,n/a,57.5 ,45.8, 69.3
"Stewart County, Georgia",13259,n/a,57.5 ,45.5, 69.4
"Washington County, Ohio",39167,n/a,57.5 ,48.7, 66.3
"Wheeler County, Oregon",41069,n/a,57.5 ,44.7, 70.2
"Carroll County, Illinois",17015,n/a,57.4 ,47.0, 67.8
"Casey County, Kentucky",21045,n/a,57.4 ,47.9, 66.9
